newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Sardis
6 Alexander Ephesus
7 Alexander Miletus
8 Alexander Halicarnassus
9 Alexander Side
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Tarsus
14 Alexander Ankara
15 Alexander Tarsus
16 Alexander Issus
17 Alexander Byblos
18 Alexander Byblos
19 Alexander Byblos
20 Alexander Byblos
21 Alexander Byblos
22 Alexander Issus
23 Alexander Byblos
24 Alexander Issus
25 Alexander Byblos
26 Alexander Sidon
27 Alexander Tyre
28 Alexander Gaza
29 Alexander Memphis
30 Alexander Alexandria
31 Alexander Alexandria
32 Alexander Siwa
33 Alexander Memphis
34 Alexander Alexandria
35 Alexander Siwa
36 Alexander Siwa
37 Alexander Alexandria
38 Alexander Alexandria
39 Alexander Siwa
40 Alexander Alexandria
41 Alexander Siwa
42 Alexander Siwa
43 Alexander Siwa
44 Alexander Siwa
45 Alexander Siwa
46 Alexander Siwa
47 Alexander Siwa
48 Alexander Siwa
49 Alexander Memphis
50 Alexander Memphis
51 Alexander Siwa
52 Alexander Siwa
53 Alexander Alexandria
54 Alexander Memphis
55 Alexander Memphis
56 Alexander Thebes
57 Alexander Thebes
58 Alexander Thebes
59 Alexander Thebes
60 Alexander Thebes
61 Alexander Thebes
62 Alexander Thebes
63 Alexander Thebes
64 Alexander Thebes
65 Alexander Thebes
66 Alexander Memphis
67 Alexander Gaza
68 Alexander Gaza
69 Alexander Gaza
70 Alexander Tyre
71 Alexander Damascus
72 Alexander Damascus
73 Alexander Damascus
74 Alexander Damascus
75 Alexander Damascus
76 Alexander Damascus
77 Alexander Tyre
78 Alexander Gaza
79 Alexander Gaza
80 Alexander Gaza
81 Alexander Memphis
82 Alexander Thebes
83 Alexander Thebes
84 Alexander Thebes
85 Alexander Thebes
86 Alexander Thebes
87 Alexander Thebes
88 Alexander Thebes
89 Alexander Thebes
90 Alexander Thebes
91 Alexander Memphis
92 Alexander Memphis
93 Alexander Gaza
94 Alexander Tyre
95 Alexander Gaza
96 Alexander Gaza
97 Alexander Tyre
98 Alexander Tyre
99 Alexander Sidon
100 Alexander Sidon
101 Alexander Byblos
102 Alexander Issus
103 Alexander Issus
104 Alexander Issus
105 Alexander Issus
106 Alexander Issus
107 Alexander Issus
108 Alexander Issus
109 Alexander Byblos
110 Alexander Issus
111 Alexander Issus
112 Alexander Issus
113 Alexander Issus
114 Alexander Issus
115 Alexander Issus
116 Alexander Byblos
117 Alexander Byblos
118 Alexander Issus
119 Alexander Byblos
120 Alexander Byblos
121 Alexander Sidon
122 Alexander Sidon
123 Alexander Tyre
124 Alexander Tyre
125 Alexander Tyre
126 Alexander Damascus
127 Alexander Tyre
128 Alexander Gaza
129 Alexander Gaza
130 Alexander Memphis
131 Alexander Memphis
132 Alexander Thebes
133 Alexander Thebes
134 Alexander Thebes
135 Alexander Thebes
136 Alexander Thebes
137 Alexander Thebes
138 Alexander Memphis
139 Alexander Alexandria
140 Alexander Alexandria
score:0.277778 maxDepth:43
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Sardis
6 Alexander Ephesus
7 Alexander Miletus
8 Alexander Halicarnassus
9 Alexander Side
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Tarsus
14 Alexander Ankara
15 Alexander Tarsus
16 Alexander Issus
17 Alexander Byblos
18 Alexander Byblos
19 Alexander Byblos
20 Alexander Byblos
21 Alexander Byblos
22 Alexander Issus
23 Alexander Byblos
24 Alexander Issus
25 Alexander Byblos
26 Alexander Sidon
27 Alexander Tyre
28 Alexander Gaza
29 Alexander Memphis
30 Alexander Alexandria
31 Alexander Alexandria
32 Alexander Alexandria
33 Alexander Siwa
34 Alexander Siwa
35 Alexander Siwa
36 Alexander Alexandria
37 Alexander Memphis
38 Alexander Memphis
39 Alexander Thebes
40 Alexander Thebes
41 Alexander Thebes
42 Alexander Thebes
43 Alexander Thebes
44 Alexander Thebes
45 Alexander Thebes
46 Alexander Thebes
47 Alexander Memphis
48 Alexander Memphis
49 Alexander Alexandria
50 Alexander Alexandria
51 Alexander Alexandria
52 Alexander Alexandria
53 Alexander Alexandria
54 Alexander Siwa
55 Alexander Siwa
56 Alexander Memphis
57 Alexander Thebes
58 Alexander Thebes
59 Alexander Thebes
60 Alexander Thebes
61 Alexander Thebes
62 Alexander Memphis
63 Alexander Memphis
64 Alexander Memphis
65 Alexander Memphis
66 Alexander Memphis
67 Alexander Gaza
68 Alexander Gaza
69 Alexander Gaza
70 Alexander Tyre
71 Alexander Tyre
72 Alexander Sidon
73 Alexander Sidon
74 Alexander Byblos
75 Alexander Issus
76 Alexander Issus
77 Alexander Issus
78 Alexander Tarsus
79 Alexander Ankara
80 Alexander Ankara
81 Alexander Ankara
82 Alexander Tarsus
83 Alexander Ankara
84 Alexander Comana
85 Alexander Comana
86 Alexander Comana
87 Alexander Comana
88 Alexander Comana
89 Alexander Gaugamela
90 Alexander Arbela
91 Alexander Ecbatana
92 Alexander Ecbatana
93 Alexander Pasargadae
94 Alexander Pasargadae
95 Alexander Pasargadae
96 Alexander Pasargadae
97 Alexander Pasargadae
98 Alexander Pasargadae
99 Alexander A Carmania
100 Alexander A Carmania
101 Alexander Pasargadae
102 Alexander A Carmania
103 Alexander A Carmania
104 Alexander A Carmania
105 Alexander A Arachosia
106 Alexander A Arachosia
107 Alexander A Arachosia
108 Alexander A Caucasus
109 Alexander A Caucasus
110 Alexander A Arachosia
111 Alexander A Arachosia
112 Alexander A Arachosia
113 Alexander A Caucasus
114 Alexander A Caucasus
115 Alexander A Arachosia
116 Alexander A Arachosia
117 Alexander A Arachosia
118 Alexander A Arachosia
119 Alexander A Arachosia
120 Alexander A Arachosia
121 Alexander Patala
122 Alexander Patala
123 Alexander Bela
124 Alexander A Carmania
125 Alexander A Carmania
126 Alexander A Carmania
127 Alexander Pasargadae
128 Alexander Pasargadae
129 Alexander Pasargadae
130 Alexander Persepolis
131 Alexander Persepolis
132 Alexander Persepolis
133 Alexander Persepolis
134 Alexander Persepolis
135 Alexander Persepolis
136 Alexander Susa
137 Alexander Charax
138 Alexander Charax
139 Alexander Susa
140 Alexander Persepolis
