newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Sardes
6 Alexander Ephesos
7 Alexander Miletos
8 Alexander Miletos
9 Alexander Miletos
10 Alexander Miletos
11 Alexander Halikarnassos
12 Alexander Side
13 Alexander Tarsos
14 Alexander Issus
15 Alexander Issus
16 Alexander Byblos
17 Alexander Byblos
18 Alexander Issus
19 Alexander Issus
20 Alexander Issus
21 Alexander Issus
22 Alexander Byblos
23 Alexander Sidon
24 Alexander Tyros
25 Alexander Damaskos
26 Alexander Damaskos
27 Alexander Tyros
28 Alexander Damaskos
29 Alexander Damaskos
30 Alexander Tyros
31 Alexander Gaza
32 Alexander Petra
33 Alexander Gaza
34 Alexander Tyros
35 Alexander Damaskos
36 Alexander Nikephorion
37 Alexander Nisois
38 Alexander Gaugamela
39 Alexander Arbela
40 Alexander Susa
41 Alexander A_in_Susiana
42 Alexander A_in_Susiana
43 Alexander A_in_Susiana
44 Alexander A_in_Susiana
45 Alexander A_in_Susiana
46 Alexander A_in_Susiana
47 Alexander Susa
48 Alexander Persepolis
49 Alexander Pathragada
50 Alexander Aspardana
51 Alexander Aspardana
52 Alexander Ekbatana
53 Alexander Ekbatana
54 Alexander Rbaga
55 Alexander Hekatompylos
56 Alexander Rbaga
57 Alexander Hekatompylos
58 Alexander Rbaga
59 Alexander Rbaga
60 Alexander Hekatompylos
61 Alexander Hekatompylos
62 Alexander Susia
63 Alexander A_in_ARIA
64 Alexander A_in_ARIA
65 Alexander Praphlasia
66 Alexander Praphlasia
67 Alexander Praphlasia
68 Alexander A_in_Arakhosia
69 Alexander A_in_Arakhosia
70 Alexander A_in_Arakhosia
71 Alexander Kahal
72 Alexander A_in_Arakhosia
73 Alexander Praphlasia
74 Alexander A_in_Arakhosia
75 Alexander A_in_Arakhosia
76 Alexander A_in_karmanien
77 Alexander A_in_karmanien
78 Alexander A_in_karmanien
79 Alexander Pathragada
80 Alexander Aspardana
81 Alexander Ekbatana
82 Alexander Aspardana
83 Alexander Ekbatana
84 Alexander Ekbatana
85 Alexander Ekbatana
86 Alexander Ekbatana
87 Alexander Aspardana
88 Alexander Ekbatana
89 Alexander Ekbatana
90 Alexander Ekbatana
91 Alexander Ekbatana
92 Alexander Aspardana
93 Alexander Aspardana
94 Alexander Pathragada
95 Alexander Persepolis
96 Alexander Pathragada
97 Alexander Aspardana
98 Alexander Aspardana
99 Alexander Ekbatana
100 Alexander Ekbatana
101 Alexander Ekbatana
102 Alexander Ekbatana
103 Alexander Aspardana
104 Alexander Ekbatana
105 Alexander Aspardana
106 Alexander Pathragada
107 Alexander Pathragada
108 Alexander Persepolis
109 Alexander Persepolis
110 Alexander Susa
111 Alexander Arbela
112 Alexander Arbela
113 Alexander Arbela
114 Alexander Arbela
115 Alexander Gaugamela
116 Alexander Amida
117 Alexander Amida
118 Alexander Gaugamela
119 Alexander Nisois
120 Alexander Gaugamela
121 Alexander Nisois
122 Alexander Nisois
123 Alexander Nisois
124 Alexander Nisois
125 Alexander Nikephorion
126 Alexander Nisois
127 Alexander Nisois
128 Alexander Nisois
129 Alexander Nisois
130 Alexander Nisois
131 Alexander Nisois
132 Alexander Nisois
133 Alexander Nikephorion
134 Alexander Nikephorion
135 Alexander Damaskos
136 Alexander Tyros
137 Alexander Sidon
138 Alexander Sidon
139 Alexander Tyros
140 Alexander Damaskos
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Sardes
6 Alexander Ephesos
7 Alexander Miletos
8 Alexander Halikarnassos
9 Alexander Miletos
10 Alexander Halikarnassos
11 Alexander Halikarnassos
12 Alexander Side
13 Alexander Tarsos
14 Alexander Issus
15 Alexander Byblos
16 Alexander Sidon
17 Alexander Sidon
18 Alexander Byblos
19 Alexander Byblos
20 Alexander Byblos
21 Alexander Issus
22 Alexander Byblos
23 Alexander Sidon
24 Alexander Tyros
25 Alexander Damaskos
26 Alexander Damaskos
27 Alexander Tyros
28 Alexander Sidon
29 Alexander Sidon
30 Alexander Tyros
31 Alexander Gaza
32 Alexander Petra
33 Alexander Gaza
34 Alexander Tyros
35 Alexander Damaskos
36 Alexander Nikephorion
37 Alexander Nisois
38 Alexander Gaugamela
39 Alexander Arbela
40 Alexander Susa
41 Alexander A_in_Susiana
42 Alexander A_in_Susiana
43 Alexander A_in_Susiana
44 Alexander A_in_Susiana
45 Alexander A_in_Susiana
46 Alexander A_in_Susiana
47 Alexander Susa
48 Alexander Persepolis
49 Alexander Pathragada
50 Alexander Aspardana
51 Alexander Aspardana
52 Alexander Ekbatana
53 Alexander Rbaga
54 Alexander Rbaga
55 Alexander Hekatompylos
56 Alexander Susia
57 Alexander A_in_ARIA
58 Alexander Susia
59 Alexander Susia
60 Alexander A_in_ARIA
61 Alexander A_in_ARIA
62 Alexander A_in_ARIA
63 Alexander Susia
64 Alexander A_in_ARIA
65 Alexander Praphlasia
66 Alexander Praphlasia
67 Alexander A_in_Arakhosia
68 Alexander A_in_Arakhosia
69 Alexander A_in_Arakhosia
70 Alexander A_in_Arakhosia
71 Alexander A_in_Arakhosia
72 Alexander Kahal
73 Alexander Arigaeum
74 Alexander Kahal
75 Alexander Kahal
76 Alexander Orapsana
77 Alexander Orapsana
78 Alexander Orapsana
79 Alexander Kahal
80 Alexander Kahal
81 Alexander Kahal
82 Alexander Kahal
83 Alexander Arigaeum
84 Alexander Kahal
85 Alexander Orapsana
86 Alexander Kahal
87 Alexander Kahal
88 Alexander Kahal
89 Alexander Arigaeum
90 Alexander Arigaeum
91 Alexander Arigaeum
92 Alexander Kahal
93 Alexander Orapsana
94 Alexander Baktra
95 Alexander A_in_Oxas
96 Alexander A_in_Oxas
97 Alexander A_in_Oxas
98 Alexander Baktra
99 Alexander A_in_Oxas
100 Alexander Baktra
101 Alexander Nautaca
102 Alexander Matakanca
103 Alexander Matakanca
104 Alexander Matakanca
105 Alexander A_in_Eskhate
106 Alexander A_in_Eskhate
107 Alexander Matakanca
108 Alexander Nautaca
109 Alexander Matakanca
110 Alexander Matakanca
111 Alexander A_in_Eskhate
112 Alexander Matakanca
113 Alexander Matakanca
114 Alexander Matakanca
115 Alexander Nautaca
116 Alexander Baktra
117 Alexander Orapsana
118 Alexander Baktra
