newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Granicus
6 Alexander Sardes
7 Alexander Gordion
8 Alexander Andyra
9 Alexander Tarsos
10 Alexander Issus
11 Alexander Byblos
12 Alexander Issus
13 Alexander Byblos
14 Alexander Byblos
15 Alexander Byblos
16 Alexander Issus
17 Alexander Issus
18 Alexander Byblos
19 Alexander Sidon
20 Alexander Sidon
21 Alexander Sidon
22 Alexander Sidon
23 Alexander Sidon
24 Alexander Sidon
25 Alexander Sidon
26 Alexander Sidon
27 Alexander Byblos
28 Alexander Sidon
29 Alexander Tyre
30 Alexander Damaskos
31 Alexander Nikephorion
32 Alexander Nikephorion
33 Alexander Nisois
34 Alexander Gaugamela
35 Alexander Amida
36 Alexander Comana
37 Alexander Andyra
38 Alexander Comana
39 Alexander Andyra
40 Alexander Andyra
41 Alexander Tarsos
42 Alexander Issus
43 Alexander Issus
44 Alexander Byblos
45 Alexander Byblos
46 Alexander Byblos
47 Alexander Issus
48 Alexander Byblos
49 Alexander Issus
50 Alexander Byblos
51 Alexander Sidon
52 Alexander Tyre
53 Alexander Tyre
54 Alexander Gaza
55 Alexander Tyre
56 Alexander Gaza
57 Alexander Petra
58 Alexander Petra
59 Alexander Petra
60 Alexander Gaza
61 Alexander Tyre
62 Alexander Gaza
63 Alexander Petra
64 Alexander Gaza
65 Alexander Petra
66 Alexander Petra
67 Alexander Gaza
68 Alexander Petra
69 Alexander Gaza
70 Alexander Memphis
71 Alexander Alexandria
72 Alexander Memphis
73 Alexander Memphis
74 Alexander Amonin
75 Alexander Paraetonion
76 Alexander Alexandria
77 Alexander Paraetonion
78 Alexander Amonin
79 Alexander Amonin
80 Alexander Amonin
81 Alexander Paraetonion
82 Alexander Paraetonion
83 Alexander Paraetonion
84 Alexander Amonin
85 Alexander Amonin
86 Alexander Memphis
87 Alexander Gaza
88 Alexander Petra
89 Alexander Petra
90 Alexander Gaza
91 Alexander Gaza
92 Alexander Tyre
93 Alexander Sidon
94 Alexander Tyre
95 Alexander Tyre
96 Alexander Tyre
97 Alexander Damaskos
98 Alexander Damaskos
99 Alexander Damaskos
100 Alexander Tyre
101 Alexander Tyre
102 Alexander Damaskos
103 Alexander Damaskos
104 Alexander Damaskos
105 Alexander Damaskos
106 Alexander Nikephorion
107 Alexander Damaskos
108 Alexander Damaskos
109 Alexander Tyre
110 Alexander Sidon
111 Alexander Sidon
112 Alexander Byblos
113 Alexander Issus
114 Alexander Issus
115 Alexander Issus
116 Alexander Tarsos
117 Alexander Issus
118 Alexander Tarsos
119 Alexander Side
120 Alexander Tarsos
121 Alexander Issus
122 Alexander Issus
123 Alexander Issus
124 Alexander Tarsos
125 Alexander Tarsos
126 Alexander Side
127 Alexander Halikarnassos
128 Alexander Miletos
129 Alexander Ephesos
130 Alexander Sardes
131 Alexander Granicus
132 Alexander Pella
133 Alexander Granicus
134 Alexander Granicus
135 Alexander Granicus
136 Alexander Pella
137 Alexander Pella
138 Alexander Granicus
139 Alexander Pella
140 Alexander Pella
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Granicus
6 Alexander Sardes
7 Alexander Gordion
8 Alexander Andyra
9 Alexander Tarsos
10 Alexander Issus
11 Alexander Byblos
12 Alexander Byblos
13 Alexander Byblos
14 Alexander Byblos
15 Alexander Byblos
16 Alexander Byblos
17 Alexander Issus
18 Alexander Byblos
19 Alexander Sidon
20 Alexander Sidon
21 Alexander Tyre
22 Alexander Gaza
23 Alexander Petra
24 Alexander Petra
25 Alexander Petra
26 Alexander Petra
27 Alexander Petra
28 Alexander Gaza
29 Alexander Tyre
30 Alexander Damaskos
31 Alexander Nikephorion
32 Alexander Nikephorion
33 Alexander Nisois
34 Alexander Nikephorion
35 Alexander Nisois
36 Alexander Nikephorion
37 Alexander Damaskos
38 Alexander Damaskos
39 Alexander Tyre
40 Alexander Tyre
41 Alexander Tyre
42 Alexander Gaza
43 Alexander Petra
44 Alexander Gaza
45 Alexander Gaza
46 Alexander Memphis
47 Alexander Gaza
48 Alexander Tyre
49 Alexander Gaza
50 Alexander Memphis
51 Alexander Memphis
52 Alexander Thebe
53 Alexander Memphis
54 Alexander Amonin
55 Alexander Amonin
56 Alexander Memphis
57 Alexander Amonin
58 Alexander Paraetonion
59 Alexander Paraetonion
60 Alexander Alexandria
61 Alexander Paraetonion
62 Alexander Amonin
63 Alexander Amonin
64 Alexander Amonin
65 Alexander Amonin
66 Alexander Memphis
67 Alexander Thebe
68 Alexander Syene
69 Alexander Syene
70 Alexander Thebe
71 Alexander Memphis
72 Alexander Alexandria
73 Alexander Paraetonion
74 Alexander Alexandria
75 Alexander Memphis
76 Alexander Memphis
77 Alexander Gaza
78 Alexander Tyre
79 Alexander Sidon
80 Alexander Sidon
81 Alexander Tyre
82 Alexander Tyre
83 Alexander Sidon
84 Alexander Byblos
85 Alexander Issus
86 Alexander Tarsos
87 Alexander Andyra
88 Alexander Andyra
89 Alexander Andyra
90 Alexander Andyra
91 Alexander Andyra
92 Alexander Gordion
93 Alexander Side
94 Alexander Halikarnassos
95 Alexander Miletos
96 Alexander Miletos
97 Alexander Ephesos
98 Alexander Sardes
99 Alexander Sardes
100 Alexander Gordion
101 Alexander Side
102 Alexander Gordion
103 Alexander Side
104 Alexander Halikarnassos
105 Alexander Miletos
106 Alexander Halikarnassos
107 Alexander Halikarnassos
108 Alexander Side
109 Alexander Gordion
110 Alexander Andyra
111 Alexander Tarsos
112 Alexander Side
113 Alexander Tarsos
114 Alexander Issus
115 Alexander Byblos
116 Alexander Sidon
117 Alexander Sidon
118 Alexander Byblos
119 Alexander Byblos
120 Alexander Byblos
121 Alexander Byblos
122 Alexander Sidon
123 Alexander Byblos
124 Alexander Sidon
125 Alexander Sidon
126 Alexander Tyre
127 Alexander Damaskos
128 Alexander Nikephorion
129 Alexander Damaskos
130 Alexander Tyre
131 Alexander Gaza
132 Alexander Gaza
133 Alexander Memphis
134 Alexander Thebe
135 Alexander Memphis
136 Alexander Thebe
137 Alexander Memphis
138 Alexander Thebe
139 Alexander Syene
140 Alexander Thebe
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
