newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Granicus
5 Alexander Sardis
6 Alexander Gordion
7 Alexander Side
8 Alexander Halicarnassus
9 Alexander Side
10 Alexander Tarsus
11 Alexander Tarsus
12 Alexander Issus
13 Alexander Byblos
14 Alexander Issus
15 Alexander Byblos
16 Alexander Sidon
17 Alexander Byblos
18 Alexander Byblos
19 Alexander Issus
20 Alexander Byblos
21 Alexander Sidon
22 Alexander Byblos
23 Alexander Issus
24 Alexander Issus
25 Alexander Tarsus
26 Alexander Ankara
27 Alexander Opis
28 Alexander Babylon
29 Alexander Babylon
30 Alexander Opis
31 Alexander Opis
32 Alexander Arbela
33 Alexander Gaugamela
34 Alexander Gaugamela
35 Alexander Arbela
36 Alexander Gaugamela
37 Alexander Nisibis
38 Alexander Nisibis
39 Alexander Gaugamela
40 Alexander Nisibis
41 Alexander Nisibis
42 Alexander Nisibis
43 Alexander Gaugamela
44 Alexander Nisibis
45 Alexander Damascus
46 Alexander Damascus
47 Alexander Tyre
48 Alexander Sidon
49 Alexander Byblos
50 Alexander Sidon
51 Alexander Tyre
52 Alexander Damascus
53 Alexander Nisibis
54 Alexander Gaugamela
55 Alexander Arbela
56 Alexander Gaugamela
57 Alexander Nisibis
58 Alexander Nisibis
59 Alexander Damascus
60 Alexander Damascus
61 Alexander Tyre
62 Alexander Gaza
63 Alexander Gaza
64 Alexander Memphis
65 Alexander Alexandria
66 Alexander Memphis
67 Alexander Thebes
68 Alexander Memphis
69 Alexander Thebes
70 Alexander Thebes
71 Alexander Memphis
72 Alexander Memphis
73 Alexander Siwa
74 Alexander Alexandria
75 Alexander Siwa
76 Alexander Alexandria
77 Alexander Alexandria
78 Alexander Alexandria
79 Alexander Siwa
80 Alexander Memphis
81 Alexander Gaza
82 Alexander Tyre
83 Alexander Sidon
84 Alexander Sidon
85 Alexander Tyre
86 Alexander Damascus
87 Alexander Tyre
88 Alexander Sidon
89 Alexander Byblos
90 Alexander Issus
91 Alexander Tarsus
92 Alexander Side
93 Alexander Halicarnassus
94 Alexander Halicarnassus
95 Alexander Halicarnassus
96 Alexander Halicarnassus
97 Alexander Miletus
98 Alexander Miletus
99 Alexander Halicarnassus
100 Alexander Miletus
101 Alexander Halicarnassus
102 Alexander Halicarnassus
103 Alexander Side
104 Alexander Tarsus
105 Alexander Side
106 Alexander Tarsus
107 Alexander Side
108 Alexander Gordion
109 Alexander Sardis
110 Alexander Granicus
111 Alexander Pella
112 Alexander Pella
113 Alexander Granicus
114 Alexander Sardis
115 Alexander Sardis
116 Alexander Granicus
117 Alexander Granicus
118 Alexander Sardis
119 Alexander Ephesus
120 Alexander Sardis
121 Alexander Ephesus
122 Alexander Ephesus
123 Alexander Ephesus
124 Alexander Sardis
125 Alexander Granicus
126 Alexander Sardis
127 Alexander Gordion
128 Alexander Sardis
129 Alexander Sardis
130 Alexander Ephesus
131 Alexander Sardis
132 Alexander Gordion
133 Alexander Side
134 Alexander Side
135 Alexander Side
136 Alexander Gordion
137 Alexander Sardis
138 Alexander Sardis
139 Alexander Ephesus
140 Alexander Ephesus
score:1 maxDepth:4
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Granicus
4 Alexander Granicus
5 Alexander Granicus
6 Alexander Sardis
7 Alexander Ephesus
8 Alexander Ephesus
9 Alexander Ephesus
10 Alexander Miletus
11 Alexander Miletus
12 Alexander Halicarnassus
13 Alexander Halicarnassus
14 Alexander Side
15 Alexander Halicarnassus
16 Alexander Halicarnassus
17 Alexander Side
18 Alexander Side
19 Alexander Tarsus
20 Alexander Issus
21 Alexander Byblos
22 Alexander Sidon
23 Alexander Sidon
24 Alexander Tyre
25 Alexander Damascus
26 Alexander Tyre
27 Alexander Gaza
28 Alexander Tyre
29 Alexander Sidon
30 Alexander Sidon
31 Alexander Tyre
32 Alexander Tyre
33 Alexander Damascus
34 Alexander Damascus
35 Alexander Nisibis
36 Alexander Damascus
37 Alexander Nisibis
38 Alexander Damascus
39 Alexander Damascus
40 Alexander Damascus
41 Alexander Tyre
42 Alexander Damascus
43 Alexander Tyre
44 Alexander Tyre
45 Alexander Damascus
46 Alexander Nisibis
47 Alexander Gaugamela
48 Alexander Gaugamela
49 Alexander Comana
50 Alexander Gaugamela
51 Alexander Arbela
52 Alexander Ecbatana
53 Alexander Arbela
54 Alexander Arbela
55 Alexander Arbela
56 Alexander Ecbatana
57 Alexander Ray
58 Alexander Ray
59 Alexander Ecbatana
60 Alexander Ecbatana
61 Alexander Pasargadae
62 Alexander Ecbatana
63 Alexander Ray
64 Alexander Hecatompylos
65 Alexander Herat
66 Alexander Prophthasia
67 Alexander Prophthasia
68 Alexander Herat
69 Alexander Prophthasia
70 Alexander A Arachosia
71 Alexander A Arachosia
72 Alexander A Arachosia
73 Alexander A Arachosia
74 Alexander A Arachosia
75 Alexander A Arachosia
76 Alexander A Caucasus
77 Alexander Drapsaca
78 Alexander A Caucasus
79 Alexander Aornos
80 Alexander A Caucasus
81 Alexander A Arachosia
82 Alexander A Arachosia
83 Alexander Prophthasia
84 Alexander A Arachosia
85 Alexander A Arachosia
86 Alexander Patala
87 Alexander A Arachosia
88 Alexander A Carmania
89 Alexander A Carmania
90 Alexander Bela
91 Alexander Patala
92 Alexander A Indus
93 Alexander Patala
94 Alexander A Arachosia
95 Alexander A Caucasus
96 Alexander A Caucasus
97 Alexander Aornos
98 Alexander Aornos
99 Alexander Texila
100 Alexander Texila
101 Alexander Aornos
102 Alexander Aornos
103 Alexander A Caucasus
104 Alexander A Arachosia
105 Alexander Patala
