newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Granicus
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Miletus
7 Alexander Side
8 Alexander Gordion
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Issus
14 Alexander Sidon
15 Alexander Tyre
16 Alexander Damascus
17 Alexander Damascus
18 Alexander Gaugamela
19 Alexander Arbela
20 Alexander Arbela
21 Alexander Babylon
22 Alexander Susa
23 Alexander Persepolis
24 Alexander Ecbatana
25 Alexander Hecatompylos
26 Alexander A Arachosia
27 Alexander A Carmania
28 Alexander Persepolis
29 Alexander Susa
30 Alexander Susa
31 Alexander Susa
32 Alexander Susa
33 Alexander Arbela
34 Alexander Gaugamela
35 Alexander Damascus
36 Alexander Tyre
37 Alexander Memphis
38 Alexander Alexandria
39 Alexander Alexandria
40 Alexander Siwa
41 Alexander Memphis
42 Alexander Tyre
43 Alexander Sidon
44 Alexander Issus
45 Alexander Tarsus
46 Alexander Side
47 Alexander Gordion
48 Alexander Sardis
49 Alexander Sardis
50 Alexander Miletus
51 Alexander Side
52 Alexander Tarsus
53 Alexander Tarsus
54 Alexander Ankara
55 Alexander Comana
56 Alexander Comana
57 Alexander Comana
58 Alexander Ankara
59 Alexander Ankara
60 Alexander Ankara
61 Alexander Ankara
62 Alexander Ankara
63 Alexander Ankara
64 Alexander Ankara
65 Alexander Ankara
66 Alexander Ankara
67 Alexander Ankara
68 Alexander Ankara
69 Alexander Ankara
70 Alexander Ankara
71 Alexander Ankara
score:0.4 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Granicus
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Miletus
7 Alexander Side
8 Alexander Gordion
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Damascus
16 Alexander Damascus
17 Alexander Damascus
18 Alexander Damascus
19 Alexander Gaugamela
20 Alexander Arbela
21 Alexander Babylon
22 Alexander Susa
23 Alexander Persepolis
24 Alexander Ecbatana
25 Alexander Hecatompylos
26 Alexander Hecatompylos
27 Alexander A Arachosia
28 Alexander A Carmania
29 Alexander Persepolis
30 Alexander Susa
31 Alexander Susa
32 Alexander Susa
33 Alexander Susa
34 Alexander Susa
35 Alexander Susa
36 Alexander Arbela
37 Alexander Gaugamela
38 Alexander Damascus
39 Alexander Damascus
40 Alexander Tyre
41 Alexander Memphis
42 Alexander Alexandria
43 Alexander Alexandria
44 Alexander Alexandria
45 Alexander Siwa
46 Alexander Memphis
47 Alexander Tyre
48 Alexander Sidon
49 Alexander Issus
50 Alexander Tarsus
51 Alexander Ankara
52 Alexander Gordion
53 Alexander Sardis
54 Alexander Granicus
55 Alexander Sardis
56 Alexander Gordion
57 Alexander Side
58 Alexander Side
59 Alexander Side
60 Alexander Tarsus
61 Alexander Tarsus
62 Alexander Ankara
63 Alexander Ankara
64 Alexander Comana
65 Alexander Comana
66 Alexander Comana
67 Alexander Comana
68 Alexander Ankara
69 Alexander Ankara
70 Alexander Ankara
71 Alexander Ankara
score:0.4 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Granicus
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Miletus
7 Alexander Side
8 Alexander Gordion
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Issus
14 Alexander Sidon
15 Alexander Tyre
16 Alexander Damascus
17 Alexander Damascus
18 Alexander Gaugamela
19 Alexander Arbela
20 Alexander Arbela
21 Alexander Babylon
22 Alexander Susa
23 Alexander Persepolis
24 Alexander Ecbatana
25 Alexander Hecatompylos
26 Alexander A Arachosia
27 Alexander A Carmania
28 Alexander Persepolis
29 Alexander Susa
30 Alexander Babylon
31 Alexander Babylon
32 Alexander Arbela
33 Alexander Arbela
34 Alexander Gaugamela
35 Alexander Damascus
36 Alexander Tyre
37 Alexander Memphis
38 Alexander Alexandria
39 Alexander Alexandria
40 Alexander Siwa
41 Alexander Memphis
42 Alexander Tyre
43 Alexander Sidon
44 Alexander Issus
45 Alexander Tarsus
46 Alexander Tarsus
47 Alexander Side
48 Alexander Gordion
49 Alexander Sardis
50 Alexander Sardis
51 Alexander Miletus
52 Alexander Side
53 Alexander Tarsus
54 Alexander Tarsus
55 Alexander Ankara
56 Alexander Comana
57 Alexander Comana
58 Alexander Comana
59 Alexander Ankara
60 Alexander Ankara
61 Alexander Ankara
62 Alexander Ankara
63 Alexander Ankara
64 Alexander Ankara
65 Alexander Ankara
66 Alexander Ankara
67 Alexander Ankara
68 Alexander Ankara
69 Alexander Ankara
70 Alexander Ankara
71 Alexander Ankara
score:0.4 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Tyre
16 Alexander Damascus
17 Alexander Damascus
18 Alexander Gaugamela
19 Alexander Arbela
20 Alexander Babylon
21 Alexander Susa
22 Alexander Susa
23 Alexander Persepolis
24 Alexander Ecbatana
25 Alexander Hecatompylos
26 Alexander A Arachosia
27 Alexander A Carmania
28 Alexander Persepolis
29 Alexander Susa
