newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Side
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Issus
15 Alexander Tarsus
16 Alexander Tarsus
17 Alexander Ankara
18 Alexander Comana
19 Alexander Comana
20 Alexander Gaugamela
21 Alexander Arbela
22 Alexander Babylon
23 Alexander Susa
24 Alexander Arbela
25 Alexander Gaugamela
26 Alexander Arbela
27 Alexander Gaugamela
28 Alexander Comana
29 Alexander Ankara
30 Alexander Gordion
31 Alexander Gordion
32 Alexander Side
33 Alexander Side
34 Alexander Tarsus
35 Alexander Ankara
36 Alexander Comana
37 Alexander Ankara
38 Alexander Tarsus
39 Alexander Ankara
40 Alexander Ankara
41 Alexander Gordion
42 Alexander Side
43 Alexander Miletus
44 Alexander Sardis
45 Alexander Gordion
46 Alexander Side
47 Alexander Miletus
48 Alexander Side
49 Alexander Tarsus
50 Alexander Ankara
51 Alexander Gordion
52 Alexander Side
53 Alexander Gordion
54 Alexander Side
55 Alexander Miletus
56 Alexander Sardis
57 Alexander Granicus
58 Alexander Sardis
59 Alexander Miletus
60 Alexander Side
61 Alexander Gordion
62 Alexander Ankara
63 Alexander Tarsus
64 Alexander Issus
65 Alexander Sidon
66 Alexander Tyre
67 Alexander Damascus
68 Alexander Tyre
69 Alexander Damascus
70 Alexander Tyre
71 Alexander Memphis
score:0.333333 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Side
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Issus
15 Alexander Tarsus
16 Alexander Tarsus
17 Alexander Ankara
18 Alexander Comana
19 Alexander Comana
20 Alexander Gaugamela
21 Alexander Arbela
22 Alexander Babylon
23 Alexander Susa
24 Alexander Arbela
25 Alexander Gaugamela
26 Alexander Arbela
27 Alexander Gaugamela
28 Alexander Comana
29 Alexander Ankara
30 Alexander Gordion
31 Alexander Sardis
32 Alexander Miletus
33 Alexander Side
34 Alexander Tarsus
35 Alexander Ankara
36 Alexander Tarsus
37 Alexander Ankara
38 Alexander Gordion
39 Alexander Side
40 Alexander Miletus
41 Alexander Side
42 Alexander Miletus
43 Alexander Sardis
44 Alexander Granicus
45 Alexander Sardis
46 Alexander Sardis
47 Alexander Gordion
48 Alexander Side
49 Alexander Miletus
50 Alexander Side
51 Alexander Tarsus
52 Alexander Ankara
53 Alexander Gordion
54 Alexander Side
55 Alexander Gordion
56 Alexander Side
57 Alexander Miletus
58 Alexander Sardis
59 Alexander Granicus
60 Alexander Sardis
61 Alexander Miletus
62 Alexander Side
63 Alexander Gordion
64 Alexander Ankara
65 Alexander Tarsus
66 Alexander Issus
67 Alexander Sidon
68 Alexander Tyre
69 Alexander Damascus
70 Alexander Tyre
71 Alexander Memphis
score:0.333333 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Issus
10 Alexander Issus
11 Alexander Issus
12 Alexander Sidon
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Tarsus
16 Alexander Ankara
17 Alexander Comana
18 Alexander Comana
19 Alexander Comana
20 Alexander Gaugamela
21 Alexander Gaugamela
22 Alexander Arbela
23 Alexander Arbela
24 Alexander Gaugamela
25 Alexander Comana
26 Alexander Ankara
27 Alexander Tarsus
28 Alexander Side
29 Alexander Gordion
30 Alexander Ankara
31 Alexander Ankara
32 Alexander Ankara
33 Alexander Ankara
34 Alexander Ankara
35 Alexander Comana
36 Alexander Ankara
37 Alexander Tarsus
38 Alexander Issus
39 Alexander Tarsus
40 Alexander Ankara
41 Alexander Gordion
42 Alexander Side
43 Alexander Miletus
44 Alexander Sardis
45 Alexander Gordion
46 Alexander Side
47 Alexander Miletus
48 Alexander Sardis
49 Alexander Miletus
50 Alexander Side
51 Alexander Tarsus
52 Alexander Ankara
53 Alexander Gordion
54 Alexander Side
55 Alexander Gordion
56 Alexander Side
57 Alexander Miletus
58 Alexander Sardis
59 Alexander Granicus
60 Alexander Sardis
61 Alexander Miletus
62 Alexander Side
63 Alexander Gordion
64 Alexander Ankara
65 Alexander Tarsus
66 Alexander Issus
67 Alexander Sidon
68 Alexander Tyre
69 Alexander Damascus
70 Alexander Tyre
71 Alexander Memphis
score:0.333333 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Side
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Issus
15 Alexander Tarsus
16 Alexander Side
17 Alexander Gordion
18 Alexander Ankara
19 Alexander Ankara
20 Alexander Ankara
21 Alexander Comana
22 Alexander Gaugamela
23 Alexander Arbela
24 Alexander Babylon
25 Alexander Susa
26 Alexander Arbela
27 Alexander Babylon
28 Alexander Susa
29 Alexander Arbela
30 Alexander Arbela
31 Alexander Gaugamela
32 Alexander Arbela
33 Alexander Arbela
34 Alexander Babylon
35 Alexander Arbela
36 Alexander Babylon
37 Alexander Susa
38 Alexander Arbela
39 Alexander Gaugamela
40 Alexander Comana
41 Alexander Ankara
42 Alexander Tarsus
43 Alexander Side
44 Alexander Gordion
45 Alexander Sardis
46 Alexander Miletus
47 Alexander Side
48 Alexander Gordion
49 Alexander Ankara
50 Alexander Tarsus
51 Alexander Issus
52 Alexander Sidon
53 Alexander Tyre
54 Alexander Damascus
55 Alexander Tyre
56 Alexander Sidon
57 Alexander Tyre
58 Alexander Sidon
59 Alexander Issus
60 Alexander Sidon
61 Alexander Issus
62 Alexander Sidon
63 Alexander Issus
64 Alexander Tarsus
65 Alexander Issus
66 Alexander Sidon
67 Alexander Tyre
