newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Tarsus
13 Alexander Tarsus
14 Alexander Issus
15 Alexander Tarsus
16 Alexander Issus
17 Alexander Sidon
18 Alexander Issus
19 Alexander Tarsus
20 Alexander Ankara
21 Alexander Ankara
22 Alexander Gordion
23 Alexander Side
24 Alexander Side
25 Alexander Tarsus
26 Alexander Tarsus
27 Alexander Tarsus
28 Alexander Tarsus
29 Alexander Issus
30 Alexander Tarsus
31 Alexander Side
32 Alexander Side
33 Alexander Side
34 Alexander Side
35 Alexander Side
36 Alexander Miletus
37 Alexander Sardis
38 Alexander Sardis
39 Alexander Sardis
40 Alexander Sardis
41 Alexander Sardis
42 Alexander Miletus
43 Alexander Sardis
44 Alexander Gordion
45 Alexander Side
46 Alexander Tarsus
47 Alexander Ankara
48 Alexander Comana
49 Alexander Comana
50 Alexander Gaugamela
51 Alexander Damascus
52 Alexander Gaugamela
53 Alexander Gaugamela
54 Alexander Gaugamela
55 Alexander Gaugamela
56 Alexander Arbela
57 Alexander Susa
58 Alexander Arbela
59 Alexander Babylon
60 Alexander Susa
61 Alexander Susa
62 Alexander Babylon
63 Alexander Susa
64 Alexander Susa
65 Alexander Babylon
66 Alexander Arbela
67 Alexander Babylon
68 Alexander Babylon
69 Alexander Susa
70 Alexander Persepolis
71 Alexander Ecbatana
score:0.342105 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Tarsus
12 Alexander Tarsus
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Issus
16 Alexander Issus
17 Alexander Sidon
18 Alexander Issus
19 Alexander Tarsus
20 Alexander Issus
21 Alexander Tarsus
22 Alexander Ankara
23 Alexander Gordion
24 Alexander Side
25 Alexander Miletus
26 Alexander Miletus
27 Alexander Sardis
28 Alexander Sardis
29 Alexander Sardis
30 Alexander Sardis
31 Alexander Sardis
32 Alexander Sardis
33 Alexander Sardis
34 Alexander Miletus
35 Alexander Miletus
36 Alexander Sardis
37 Alexander Sardis
38 Alexander Sardis
39 Alexander Sardis
40 Alexander Gordion
41 Alexander Sardis
42 Alexander Miletus
43 Alexander Side
44 Alexander Gordion
45 Alexander Ankara
46 Alexander Comana
47 Alexander Ankara
48 Alexander Comana
49 Alexander Comana
50 Alexander Gaugamela
51 Alexander Arbela
52 Alexander Gaugamela
53 Alexander Gaugamela
54 Alexander Arbela
55 Alexander Arbela
56 Alexander Arbela
57 Alexander Babylon
58 Alexander Susa
59 Alexander Babylon
60 Alexander Arbela
61 Alexander Babylon
62 Alexander Susa
63 Alexander Persepolis
64 Alexander Susa
65 Alexander Susa
66 Alexander Babylon
67 Alexander Arbela
68 Alexander Babylon
69 Alexander Susa
70 Alexander Persepolis
71 Alexander Ecbatana
score:0.342105 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Tarsus
12 Alexander Tarsus
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Issus
16 Alexander Sidon
17 Alexander Issus
18 Alexander Tarsus
19 Alexander Issus
20 Alexander Tarsus
21 Alexander Ankara
22 Alexander Gordion
23 Alexander Side
24 Alexander Miletus
25 Alexander Miletus
26 Alexander Sardis
27 Alexander Sardis
28 Alexander Sardis
29 Alexander Sardis
30 Alexander Sardis
31 Alexander Sardis
32 Alexander Sardis
33 Alexander Sardis
34 Alexander Miletus
35 Alexander Miletus
36 Alexander Sardis
37 Alexander Sardis
38 Alexander Sardis
39 Alexander Sardis
40 Alexander Gordion
41 Alexander Sardis
42 Alexander Miletus
43 Alexander Side
44 Alexander Gordion
45 Alexander Ankara
46 Alexander Comana
47 Alexander Comana
48 Alexander Gaugamela
49 Alexander Gaugamela
50 Alexander Arbela
51 Alexander Gaugamela
52 Alexander Gaugamela
53 Alexander Arbela
54 Alexander Arbela
55 Alexander Arbela
56 Alexander Babylon
57 Alexander Susa
58 Alexander Babylon
59 Alexander Arbela
60 Alexander Babylon
61 Alexander Susa
62 Alexander Persepolis
63 Alexander Susa
64 Alexander Susa
65 Alexander Babylon
66 Alexander Arbela
67 Alexander Babylon
68 Alexander Babylon
69 Alexander Susa
70 Alexander Persepolis
71 Alexander Ecbatana
score:0.342105 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Tarsus
13 Alexander Tarsus
14 Alexander Issus
15 Alexander Tarsus
16 Alexander Issus
17 Alexander Sidon
18 Alexander Issus
19 Alexander Tarsus
20 Alexander Issus
21 Alexander Tarsus
22 Alexander Ankara
23 Alexander Gordion
24 Alexander Side
25 Alexander Miletus
26 Alexander Miletus
27 Alexander Sardis
28 Alexander Sardis
29 Alexander Sardis
30 Alexander Sardis
31 Alexander Sardis
32 Alexander Sardis
