newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Issus
12 Alexander Issus
13 Alexander Issus
14 Alexander Issus
15 Alexander Sidon
16 Alexander Tyre
17 Alexander Memphis
18 Alexander Memphis
19 Alexander Alexandria
20 Alexander Siwa
21 Alexander Memphis
22 Alexander Tyre
23 Alexander Tyre
24 Alexander Tyre
25 Alexander Damascus
26 Alexander Gaugamela
27 Alexander Gaugamela
28 Alexander Gaugamela
29 Alexander Gaugamela
30 Alexander Comana
31 Alexander Comana
32 Alexander Ankara
33 Alexander Tarsus
34 Alexander Side
35 Alexander Gordion
36 Alexander Sardis
37 Alexander Miletus
38 Alexander Side
39 Alexander Gordion
40 Alexander Gordion
41 Alexander Gordion
42 Alexander Ankara
43 Alexander Ankara
44 Alexander Comana
45 Alexander Gaugamela
46 Alexander Gaugamela
47 Alexander Gaugamela
48 Alexander Gaugamela
49 Alexander Gaugamela
50 Alexander Gaugamela
51 Alexander Gaugamela
52 Alexander Gaugamela
53 Alexander Gaugamela
54 Alexander Gaugamela
55 Alexander Gaugamela
56 Alexander Gaugamela
57 Alexander Gaugamela
58 Alexander Gaugamela
59 Alexander Gaugamela
60 Alexander Gaugamela
61 Alexander Gaugamela
62 Alexander Gaugamela
63 Alexander Gaugamela
64 Alexander Gaugamela
65 Alexander Gaugamela
66 Alexander Gaugamela
67 Alexander Gaugamela
68 Alexander Gaugamela
69 Alexander Gaugamela
70 Alexander Gaugamela
71 Alexander Gaugamela
score:0.307692 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Issus
12 Alexander Issus
13 Alexander Issus
14 Alexander Issus
15 Alexander Sidon
16 Alexander Tyre
17 Alexander Memphis
18 Alexander Memphis
19 Alexander Alexandria
20 Alexander Alexandria
21 Alexander Alexandria
22 Alexander Alexandria
23 Alexander Siwa
24 Alexander Memphis
25 Alexander Memphis
26 Alexander Tyre
27 Alexander Tyre
28 Alexander Damascus
29 Alexander Gaugamela
30 Alexander Gaugamela
31 Alexander Gaugamela
32 Alexander Comana
33 Alexander Comana
34 Alexander Ankara
35 Alexander Ankara
36 Alexander Tarsus
37 Alexander Tarsus
38 Alexander Side
39 Alexander Miletus
40 Alexander Sardis
41 Alexander Granicus
42 Alexander Sardis
43 Alexander Gordion
44 Alexander Side
45 Alexander Tarsus
46 Alexander Ankara
47 Alexander Comana
48 Alexander Gaugamela
49 Alexander Gaugamela
50 Alexander Gaugamela
51 Alexander Damascus
52 Alexander Gaugamela
53 Alexander Gaugamela
54 Alexander Gaugamela
55 Alexander Gaugamela
56 Alexander Gaugamela
57 Alexander Gaugamela
58 Alexander Comana
59 Alexander Gaugamela
60 Alexander Gaugamela
61 Alexander Gaugamela
62 Alexander Gaugamela
63 Alexander Gaugamela
64 Alexander Gaugamela
65 Alexander Gaugamela
66 Alexander Gaugamela
67 Alexander Gaugamela
68 Alexander Gaugamela
69 Alexander Gaugamela
70 Alexander Gaugamela
71 Alexander Arbela
score:0.307692 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Issus
12 Alexander Issus
13 Alexander Issus
14 Alexander Issus
15 Alexander Sidon
16 Alexander Tyre
17 Alexander Memphis
18 Alexander Siwa
19 Alexander Alexandria
20 Alexander Memphis
21 Alexander Tyre
22 Alexander Tyre
23 Alexander Tyre
24 Alexander Damascus
25 Alexander Gaugamela
26 Alexander Gaugamela
27 Alexander Gaugamela
28 Alexander Gaugamela
29 Alexander Comana
30 Alexander Comana
31 Alexander Ankara
32 Alexander Tarsus
33 Alexander Side
34 Alexander Gordion
35 Alexander Sardis
36 Alexander Miletus
37 Alexander Side
38 Alexander Side
39 Alexander Tarsus
40 Alexander Tarsus
41 Alexander Tarsus
42 Alexander Tarsus
43 Alexander Tarsus
44 Alexander Tarsus
45 Alexander Tarsus
46 Alexander Tarsus
47 Alexander Ankara
48 Alexander Comana
49 Alexander Gaugamela
50 Alexander Damascus
51 Alexander Gaugamela
52 Alexander Gaugamela
53 Alexander Gaugamela
54 Alexander Gaugamela
55 Alexander Gaugamela
56 Alexander Gaugamela
57 Alexander Gaugamela
58 Alexander Gaugamela
59 Alexander Gaugamela
60 Alexander Gaugamela
61 Alexander Gaugamela
62 Alexander Gaugamela
63 Alexander Gaugamela
64 Alexander Gaugamela
65 Alexander Gaugamela
66 Alexander Gaugamela
67 Alexander Gaugamela
68 Alexander Gaugamela
69 Alexander Gaugamela
70 Alexander Gaugamela
71 Alexander Gaugamela
score:0.307692 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Issus
14 Alexander Issus
15 Alexander Sidon
16 Alexander Tyre
17 Alexander Memphis
18 Alexander Siwa
