newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Sidon
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Ankara
17 Alexander Ankara
18 Alexander Comana
19 Alexander Comana
20 Alexander Gaugamela
21 Alexander Gaugamela
22 Alexander Arbela
23 Alexander Babylon
24 Alexander Babylon
25 Alexander Arbela
26 Alexander Gaugamela
27 Alexander Comana
28 Alexander Ankara
29 Alexander Gordion
30 Alexander Sardis
31 Alexander Miletus
32 Alexander Side
33 Alexander Gordion
34 Alexander Ankara
35 Alexander Tarsus
36 Alexander Issus
37 Alexander Tarsus
38 Alexander Issus
39 Alexander Tarsus
40 Alexander Side
41 Alexander Tarsus
42 Alexander Issus
43 Alexander Issus
44 Alexander Tarsus
45 Alexander Side
46 Alexander Miletus
47 Alexander Sardis
48 Alexander Gordion
49 Alexander Ankara
50 Alexander Tarsus
51 Alexander Issus
52 Alexander Sidon
53 Alexander Tyre
54 Alexander Sidon
55 Alexander Tyre
56 Alexander Damascus
57 Alexander Gaugamela
58 Alexander Arbela
59 Alexander Babylon
60 Alexander Arbela
61 Alexander Babylon
62 Alexander Susa
63 Alexander Susa
64 Alexander Babylon
65 Alexander Susa
66 Alexander Babylon
67 Alexander Arbela
68 Alexander Babylon
69 Alexander Susa
70 Alexander Susa
71 Alexander Susa
score:0.421053 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Sidon
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Ankara
17 Alexander Comana
18 Alexander Comana
19 Alexander Gaugamela
20 Alexander Damascus
21 Alexander Gaugamela
22 Alexander Arbela
23 Alexander Babylon
24 Alexander Babylon
25 Alexander Arbela
26 Alexander Gaugamela
27 Alexander Gaugamela
28 Alexander Gaugamela
29 Alexander Comana
30 Alexander Ankara
31 Alexander Gordion
32 Alexander Side
33 Alexander Side
34 Alexander Side
35 Alexander Tarsus
36 Alexander Side
37 Alexander Tarsus
38 Alexander Tarsus
39 Alexander Ankara
40 Alexander Comana
41 Alexander Ankara
42 Alexander Gordion
43 Alexander Sardis
44 Alexander Miletus
45 Alexander Side
46 Alexander Tarsus
47 Alexander Tarsus
48 Alexander Issus
49 Alexander Sidon
50 Alexander Tyre
51 Alexander Tyre
52 Alexander Tyre
53 Alexander Tyre
54 Alexander Memphis
55 Alexander Tyre
56 Alexander Damascus
57 Alexander Gaugamela
58 Alexander Arbela
59 Alexander Babylon
60 Alexander Arbela
61 Alexander Babylon
62 Alexander Susa
63 Alexander Babylon
64 Alexander Arbela
65 Alexander Babylon
66 Alexander Arbela
67 Alexander Babylon
68 Alexander Babylon
69 Alexander Arbela
70 Alexander Susa
71 Alexander Susa
score:0.421053 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Sidon
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Ankara
17 Alexander Comana
18 Alexander Comana
19 Alexander Gaugamela
20 Alexander Arbela
21 Alexander Babylon
22 Alexander Babylon
23 Alexander Arbela
24 Alexander Gaugamela
25 Alexander Gaugamela
26 Alexander Comana
27 Alexander Ankara
28 Alexander Gordion
29 Alexander Sardis
30 Alexander Miletus
31 Alexander Side
32 Alexander Tarsus
33 Alexander Issus
34 Alexander Issus
35 Alexander Tarsus
36 Alexander Side
37 Alexander Tarsus
38 Alexander Issus
39 Alexander Tarsus
40 Alexander Ankara
41 Alexander Gordion
42 Alexander Sardis
43 Alexander Miletus
44 Alexander Side
45 Alexander Gordion
46 Alexander Ankara
47 Alexander Tarsus
48 Alexander Issus
49 Alexander Sidon
50 Alexander Tyre
51 Alexander Memphis
52 Alexander Tyre
53 Alexander Sidon
54 Alexander Tyre
55 Alexander Damascus
56 Alexander Gaugamela
57 Alexander Arbela
58 Alexander Babylon
59 Alexander Arbela
60 Alexander Babylon
61 Alexander Arbela
62 Alexander Babylon
63 Alexander Susa
64 Alexander Babylon
65 Alexander Arbela
66 Alexander Babylon
67 Alexander Susa
68 Alexander Babylon
69 Alexander Arbela
70 Alexander Susa
71 Alexander Persepolis
score:0.421053 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Sidon
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Ankara
17 Alexander Comana
18 Alexander Comana
19 Alexander Gaugamela
20 Alexander Damascus
21 Alexander Gaugamela
22 Alexander Arbela
23 Alexander Babylon
24 Alexander Babylon
25 Alexander Arbela
26 Alexander Gaugamela
27 Alexander Gaugamela
28 Alexander Gaugamela
29 Alexander Comana
30 Alexander Ankara
31 Alexander Gordion
32 Alexander Side
