newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Sardis
6 Alexander Sardis
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Sidon
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Comana
17 Alexander Comana
18 Alexander Comana
19 Alexander Comana
20 Alexander Comana
21 Alexander Gaugamela
22 Alexander Arbela
23 Alexander Babylon
24 Alexander Susa
25 Alexander Arbela
26 Alexander Gaugamela
27 Alexander Gaugamela
28 Alexander Comana
29 Alexander Ankara
30 Alexander Tarsus
31 Alexander Side
32 Alexander Gordion
33 Alexander Sardis
34 Alexander Granicus
35 Alexander Granicus
36 Alexander Granicus
37 Alexander Sardis
38 Alexander Sardis
39 Alexander Miletus
40 Alexander Side
41 Alexander Gordion
42 Alexander Gordion
43 Alexander Ankara
44 Alexander Tarsus
45 Alexander Side
46 Alexander Miletus
47 Alexander Sardis
48 Alexander Granicus
49 Alexander Granicus
50 Alexander Sardis
51 Alexander Sardis
52 Alexander Granicus
53 Alexander Granicus
54 Alexander Sardis
55 Alexander Gordion
56 Alexander Gordion
57 Alexander Ankara
58 Alexander Ankara
59 Alexander Ankara
60 Alexander Tarsus
61 Alexander Issus
62 Alexander Sidon
63 Alexander Tyre
64 Alexander Memphis
65 Alexander Memphis
66 Alexander Siwa
67 Alexander Memphis
68 Alexander Memphis
69 Alexander Siwa
70 Alexander Siwa
71 Alexander Siwa
score:0.3 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Sardis
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Sidon
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Comana
17 Alexander Comana
18 Alexander Comana
19 Alexander Comana
20 Alexander Gaugamela
21 Alexander Arbela
22 Alexander Babylon
23 Alexander Susa
24 Alexander Susa
25 Alexander Arbela
26 Alexander Gaugamela
27 Alexander Gaugamela
28 Alexander Comana
29 Alexander Ankara
30 Alexander Tarsus
31 Alexander Side
32 Alexander Gordion
33 Alexander Sardis
34 Alexander Granicus
35 Alexander Granicus
36 Alexander Sardis
37 Alexander Sardis
38 Alexander Gordion
39 Alexander Ankara
40 Alexander Tarsus
41 Alexander Side
42 Alexander Miletus
43 Alexander Side
44 Alexander Miletus
45 Alexander Miletus
46 Alexander Sardis
47 Alexander Granicus
48 Alexander Granicus
49 Alexander Granicus
50 Alexander Sardis
51 Alexander Granicus
52 Alexander Pella
53 Alexander Granicus
54 Alexander Sardis
55 Alexander Gordion
56 Alexander Gordion
57 Alexander Gordion
58 Alexander Ankara
59 Alexander Tarsus
60 Alexander Issus
61 Alexander Sidon
62 Alexander Tyre
63 Alexander Memphis
64 Alexander Memphis
65 Alexander Memphis
66 Alexander Memphis
67 Alexander Siwa
68 Alexander Siwa
69 Alexander Siwa
70 Alexander Siwa
71 Alexander Siwa
score:0.3 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Sardis
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Sidon
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Comana
17 Alexander Comana
18 Alexander Comana
19 Alexander Comana
20 Alexander Gaugamela
21 Alexander Arbela
22 Alexander Babylon
23 Alexander Susa
24 Alexander Susa
25 Alexander Arbela
26 Alexander Arbela
27 Alexander Gaugamela
28 Alexander Gaugamela
29 Alexander Comana
30 Alexander Ankara
31 Alexander Tarsus
32 Alexander Side
33 Alexander Gordion
34 Alexander Sardis
35 Alexander Granicus
36 Alexander Granicus
37 Alexander Sardis
38 Alexander Sardis
39 Alexander Gordion
40 Alexander Ankara
41 Alexander Tarsus
42 Alexander Side
43 Alexander Miletus
44 Alexander Side
45 Alexander Miletus
46 Alexander Miletus
47 Alexander Sardis
48 Alexander Granicus
49 Alexander Granicus
50 Alexander Granicus
51 Alexander Sardis
52 Alexander Granicus
53 Alexander Pella
54 Alexander Granicus
55 Alexander Sardis
56 Alexander Gordion
57 Alexander Gordion
58 Alexander Gordion
59 Alexander Ankara
60 Alexander Tarsus
61 Alexander Issus
62 Alexander Sidon
63 Alexander Tyre
64 Alexander Memphis
65 Alexander Memphis
66 Alexander Memphis
67 Alexander Memphis
68 Alexander Siwa
69 Alexander Siwa
70 Alexander Siwa
71 Alexander Siwa
score:0.3 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Sardis
6 Alexander Sardis
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Sidon
13 Alexander Issus
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Comana
17 Alexander Comana
18 Alexander Comana
19 Alexander Comana
20 Alexander Comana
21 Alexander Gaugamela
22 Alexander Arbela
23 Alexander Babylon
24 Alexander Susa
25 Alexander Arbela
26 Alexander Gaugamela
27 Alexander Gaugamela
28 Alexander Comana
29 Alexander Ankara
30 Alexander Tarsus
31 Alexander Side
32 Alexander Gordion
33 Alexander Sardis
34 Alexander Granicus
35 Alexander Granicus
36 Alexander Granicus
37 Alexander Sardis
38 Alexander Sardis
39 Alexander Miletus
40 Alexander Side
41 Alexander Gordion
42 Alexander Gordion
43 Alexander Ankara
44 Alexander Tarsus
45 Alexander Side
46 Alexander Miletus
47 Alexander Sardis
48 Alexander Granicus
49 Alexander Granicus
50 Alexander Sardis
51 Alexander Sardis
52 Alexander Granicus
53 Alexander Granicus
54 Alexander Sardis
55 Alexander Gordion
56 Alexander Gordion
57 Alexander Ankara
58 Alexander Ankara
59 Alexander Ankara
60 Alexander Tarsus
61 Alexander Issus
62 Alexander Sidon
63 Alexander Tyre
64 Alexander Memphis
