newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Miletus
6 Alexander Side
7 Alexander Tarsus
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Gordion
11 Alexander Sardis
12 Alexander Miletus
13 Alexander Side
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Ankara
17 Alexander Comana
18 Alexander Gaugamela
19 Alexander Arbela
20 Alexander Babylon
21 Alexander Susa
22 Alexander Persepolis
23 Alexander Persepolis
24 Alexander Persepolis
25 Alexander Ecbatana
26 Alexander Hecatompylos
27 Alexander Hecatompylos
28 Alexander A Arachosia
29 Alexander A Caucasus
30 Alexander Aornos
31 Alexander Nicaea
32 Alexander A Indus
33 Alexander Patala
34 Alexander Bela
35 Alexander A Carmania
36 Alexander Persepolis
37 Alexander Susa
38 Alexander Arbela
39 Alexander Gaugamela
40 Alexander Gaugamela
41 Alexander Gaugamela
42 Alexander Comana
43 Alexander Ankara
44 Alexander Tarsus
45 Alexander Side
46 Alexander Gordion
47 Alexander Sardis
48 Alexander Miletus
49 Alexander Side
50 Alexander Gordion
51 Alexander Ankara
52 Alexander Comana
53 Alexander Gaugamela
54 Alexander Arbela
55 Alexander Susa
56 Alexander Babylon
57 Alexander Arbela
58 Alexander Gaugamela
59 Alexander Comana
60 Alexander Ankara
61 Alexander Gordion
62 Alexander Sardis
63 Alexander Miletus
64 Alexander Side
65 Alexander Side
66 Alexander Tarsus
67 Alexander Issus
68 Alexander Issus
69 Alexander Sidon
70 Alexander Tyre
71 Alexander Memphis
score:0.375 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Miletus
6 Alexander Side
7 Alexander Tarsus
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Gordion
11 Alexander Sardis
12 Alexander Miletus
13 Alexander Side
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Ankara
17 Alexander Comana
18 Alexander Gaugamela
19 Alexander Arbela
20 Alexander Babylon
21 Alexander Susa
22 Alexander Persepolis
23 Alexander Persepolis
24 Alexander Persepolis
25 Alexander Ecbatana
26 Alexander Hecatompylos
27 Alexander Hecatompylos
28 Alexander A Arachosia
29 Alexander A Caucasus
30 Alexander Aornos
31 Alexander Nicaea
32 Alexander A Indus
33 Alexander A Arachosia
34 Alexander Hecatompylos
35 Alexander Ecbatana
36 Alexander Persepolis
37 Alexander Susa
38 Alexander Arbela
39 Alexander Gaugamela
40 Alexander Comana
41 Alexander Ankara
42 Alexander Tarsus
43 Alexander Side
44 Alexander Gordion
45 Alexander Gordion
46 Alexander Sardis
47 Alexander Miletus
48 Alexander Side
49 Alexander Tarsus
50 Alexander Ankara
51 Alexander Comana
52 Alexander Gaugamela
53 Alexander Arbela
54 Alexander Babylon
55 Alexander Susa
56 Alexander Arbela
57 Alexander Gaugamela
58 Alexander Comana
59 Alexander Ankara
60 Alexander Tarsus
61 Alexander Side
62 Alexander Gordion
63 Alexander Sardis
64 Alexander Miletus
65 Alexander Side
66 Alexander Tarsus
67 Alexander Issus
68 Alexander Sidon
69 Alexander Tyre
70 Alexander Memphis
71 Alexander Memphis
score:0.375 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Side
9 Alexander Tarsus
10 Alexander Ankara
11 Alexander Ankara
12 Alexander Gordion
13 Alexander Gordion
14 Alexander Side
15 Alexander Tarsus
16 Alexander Ankara
17 Alexander Comana
18 Alexander Gaugamela
19 Alexander Arbela
20 Alexander Babylon
21 Alexander Susa
22 Alexander Susa
23 Alexander Persepolis
24 Alexander Persepolis
25 Alexander Ecbatana
26 Alexander Hecatompylos
27 Alexander A Arachosia
28 Alexander A Caucasus
29 Alexander Aornos
30 Alexander Nicaea
31 Alexander A Indus
32 Alexander Patala
33 Alexander Bela
34 Alexander A Carmania
35 Alexander Persepolis
36 Alexander Susa
37 Alexander Babylon
38 Alexander Arbela
39 Alexander Arbela
40 Alexander Gaugamela
41 Alexander Comana
42 Alexander Ankara
43 Alexander Ankara
44 Alexander Tarsus
45 Alexander Side
46 Alexander Miletus
47 Alexander Sardis
48 Alexander Gordion
49 Alexander Ankara
50 Alexander Comana
51 Alexander Gaugamela
52 Alexander Arbela
53 Alexander Susa
54 Alexander Babylon
55 Alexander Arbela
56 Alexander Gaugamela
57 Alexander Comana
58 Alexander Ankara
59 Alexander Gordion
60 Alexander Sardis
61 Alexander Miletus
62 Alexander Side
63 Alexander Gordion
64 Alexander Ankara
65 Alexander Tarsus
66 Alexander Issus
67 Alexander Sidon
68 Alexander Tyre
69 Alexander Memphis
70 Alexander Memphis
71 Alexander Memphis
score:0.375 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Miletus
6 Alexander Side
7 Alexander Tarsus
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Gordion
11 Alexander Sardis
12 Alexander Miletus
13 Alexander Side
14 Alexander Tarsus
15 Alexander Ankara
16 Alexander Ankara
17 Alexander Comana
18 Alexander Gaugamela
19 Alexander Arbela
20 Alexander Babylon
21 Alexander Susa
22 Alexander Persepolis
23 Alexander Persepolis
24 Alexander Persepolis
25 Alexander Ecbatana
26 Alexander Hecatompylos
27 Alexander Hecatompylos
