newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Granicus
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Ankara
11 Alexander Comana
12 Alexander Comana
13 Alexander Gaugamela
14 Alexander Arbela
15 Alexander Arbela
16 Alexander Babylon
17 Alexander Babylon
18 Alexander Babylon
19 Alexander Susa
20 Alexander Persepolis
21 Alexander Susa
22 Alexander Arbela
23 Alexander Gaugamela
24 Alexander Comana
25 Alexander Ankara
26 Alexander Gordion
27 Alexander Gordion
28 Alexander Gordion
29 Alexander Gordion
30 Alexander Gordion
31 Alexander Sardis
32 Alexander Miletus
33 Alexander Side
34 Alexander Side
35 Alexander Side
36 Alexander Tarsus
37 Alexander Tarsus
38 Alexander Ankara
39 Alexander Gordion
40 Alexander Gordion
41 Alexander Gordion
42 Alexander Sardis
43 Alexander Sardis
44 Alexander Miletus
45 Alexander Miletus
46 Alexander Side
47 Alexander Miletus
48 Alexander Sardis
49 Alexander Miletus
50 Alexander Miletus
51 Alexander Miletus
52 Alexander Miletus
53 Alexander Miletus
54 Alexander Sardis
55 Alexander Granicus
56 Alexander Sardis
57 Alexander Sardis
58 Alexander Miletus
59 Alexander Miletus
60 Alexander Miletus
61 Alexander Miletus
62 Alexander Miletus
63 Alexander Miletus
64 Alexander Miletus
65 Alexander Miletus
66 Alexander Miletus
67 Alexander Miletus
68 Alexander Miletus
69 Alexander Miletus
70 Alexander Miletus
71 Alexander Miletus
score:0.275 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Granicus
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Gordion
9 Alexander Ankara
10 Alexander Ankara
11 Alexander Comana
12 Alexander Comana
13 Alexander Gaugamela
14 Alexander Arbela
15 Alexander Babylon
16 Alexander Babylon
17 Alexander Susa
18 Alexander Persepolis
19 Alexander Susa
20 Alexander Babylon
21 Alexander Arbela
22 Alexander Gaugamela
23 Alexander Comana
24 Alexander Comana
25 Alexander Ankara
26 Alexander Tarsus
27 Alexander Issus
28 Alexander Tarsus
29 Alexander Issus
30 Alexander Tarsus
31 Alexander Tarsus
32 Alexander Side
33 Alexander Side
34 Alexander Miletus
35 Alexander Miletus
36 Alexander Sardis
37 Alexander Sardis
38 Alexander Sardis
39 Alexander Sardis
40 Alexander Sardis
41 Alexander Miletus
42 Alexander Miletus
43 Alexander Miletus
44 Alexander Miletus
45 Alexander Miletus
46 Alexander Miletus
47 Alexander Miletus
48 Alexander Miletus
49 Alexander Side
50 Alexander Miletus
51 Alexander Miletus
52 Alexander Miletus
53 Alexander Miletus
54 Alexander Miletus
55 Alexander Miletus
56 Alexander Miletus
57 Alexander Miletus
58 Alexander Miletus
59 Alexander Miletus
60 Alexander Miletus
61 Alexander Miletus
62 Alexander Miletus
63 Alexander Miletus
64 Alexander Miletus
65 Alexander Miletus
66 Alexander Miletus
67 Alexander Miletus
68 Alexander Miletus
69 Alexander Miletus
70 Alexander Miletus
71 Alexander Miletus
score:0.275 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Granicus
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Ankara
11 Alexander Comana
12 Alexander Comana
13 Alexander Gaugamela
14 Alexander Arbela
15 Alexander Arbela
16 Alexander Babylon
17 Alexander Babylon
18 Alexander Babylon
19 Alexander Susa
20 Alexander Persepolis
21 Alexander Susa
22 Alexander Arbela
23 Alexander Gaugamela
24 Alexander Comana
25 Alexander Ankara
26 Alexander Ankara
27 Alexander Gordion
28 Alexander Sardis
29 Alexander Miletus
30 Alexander Side
31 Alexander Side
32 Alexander Gordion
33 Alexander Sardis
34 Alexander Sardis
35 Alexander Sardis
36 Alexander Sardis
37 Alexander Sardis
38 Alexander Sardis
39 Alexander Sardis
40 Alexander Sardis
41 Alexander Sardis
42 Alexander Sardis
43 Alexander Miletus
44 Alexander Miletus
45 Alexander Miletus
46 Alexander Miletus
47 Alexander Miletus
48 Alexander Miletus
49 Alexander Miletus
50 Alexander Miletus
51 Alexander Miletus
52 Alexander Miletus
53 Alexander Miletus
54 Alexander Miletus
55 Alexander Miletus
56 Alexander Miletus
57 Alexander Miletus
58 Alexander Miletus
59 Alexander Miletus
60 Alexander Miletus
61 Alexander Miletus
62 Alexander Miletus
63 Alexander Miletus
64 Alexander Miletus
65 Alexander Miletus
66 Alexander Miletus
67 Alexander Miletus
68 Alexander Miletus
69 Alexander Miletus
70 Alexander Miletus
71 Alexander Miletus
score:0.275 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Ankara
10 Alexander Ankara
11 Alexander Ankara
12 Alexander Comana
13 Alexander Comana
14 Alexander Gaugamela
15 Alexander Gaugamela
16 Alexander Arbela
17 Alexander Babylon
18 Alexander Babylon
19 Alexander Susa
20 Alexander Persepolis
21 Alexander Susa
22 Alexander Arbela
23 Alexander Gaugamela
24 Alexander Comana
25 Alexander Ankara
26 Alexander Gordion
27 Alexander Gordion
28 Alexander Sardis
29 Alexander Sardis
30 Alexander Miletus
31 Alexander Miletus
32 Alexander Miletus
33 Alexander Miletus
