newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Sidon
15 Alexander Tyre
16 Alexander Memphis
17 Alexander Alexandria
18 Alexander Alexandria
19 Alexander Alexandria
20 Alexander Siwa
21 Alexander Siwa
22 Alexander Memphis
23 Alexander Tyre
24 Alexander Tyre
25 Alexander Sidon
26 Alexander Sidon
27 Alexander Issus
28 Alexander Tarsus
29 Alexander Tarsus
30 Alexander Side
31 Alexander Side
32 Alexander Gordion
33 Alexander Ankara
34 Alexander Ankara
35 Alexander Ankara
36 Alexander Ankara
37 Alexander Ankara
38 Alexander Ankara
39 Alexander Ankara
40 Alexander Ankara
41 Alexander Ankara
42 Alexander Tarsus
43 Alexander Tarsus
44 Alexander Tarsus
45 Alexander Issus
46 Alexander Issus
47 Alexander Tarsus
48 Alexander Ankara
49 Alexander Gordion
50 Alexander Side
51 Alexander Miletus
52 Alexander Miletus
53 Alexander Miletus
54 Alexander Miletus
55 Alexander Miletus
56 Alexander Miletus
57 Alexander Side
58 Alexander Side
59 Alexander Side
60 Alexander Side
61 Alexander Gordion
62 Alexander Side
63 Alexander Side
64 Alexander Side
65 Alexander Side
66 Alexander Side
67 Alexander Side
68 Alexander Side
69 Alexander Side
70 Alexander Side
71 Alexander Side
score:0.35 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Sidon
15 Alexander Tyre
16 Alexander Memphis
17 Alexander Alexandria
18 Alexander Alexandria
19 Alexander Alexandria
20 Alexander Siwa
21 Alexander Siwa
22 Alexander Memphis
23 Alexander Tyre
24 Alexander Tyre
25 Alexander Sidon
26 Alexander Issus
27 Alexander Sidon
28 Alexander Issus
29 Alexander Issus
30 Alexander Tarsus
31 Alexander Tarsus
32 Alexander Side
33 Alexander Side
34 Alexander Miletus
35 Alexander Sardis
36 Alexander Gordion
37 Alexander Side
38 Alexander Tarsus
39 Alexander Ankara
40 Alexander Gordion
41 Alexander Gordion
42 Alexander Side
43 Alexander Side
44 Alexander Tarsus
45 Alexander Tarsus
46 Alexander Ankara
47 Alexander Gordion
48 Alexander Sardis
49 Alexander Miletus
50 Alexander Side
51 Alexander Tarsus
52 Alexander Ankara
53 Alexander Gordion
54 Alexander Gordion
55 Alexander Gordion
56 Alexander Side
57 Alexander Miletus
58 Alexander Miletus
59 Alexander Miletus
60 Alexander Side
61 Alexander Side
62 Alexander Side
63 Alexander Gordion
64 Alexander Side
65 Alexander Side
66 Alexander Side
67 Alexander Side
68 Alexander Side
69 Alexander Side
70 Alexander Side
71 Alexander Side
score:0.35 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Sidon
15 Alexander Tyre
16 Alexander Memphis
17 Alexander Alexandria
18 Alexander Alexandria
19 Alexander Alexandria
20 Alexander Siwa
21 Alexander Siwa
22 Alexander Memphis
23 Alexander Alexandria
24 Alexander Memphis
25 Alexander Tyre
26 Alexander Tyre
27 Alexander Tyre
28 Alexander Sidon
29 Alexander Issus
30 Alexander Tarsus
31 Alexander Tarsus
32 Alexander Side
33 Alexander Side
34 Alexander Side
35 Alexander Miletus
36 Alexander Sardis
37 Alexander Gordion
38 Alexander Side
39 Alexander Tarsus
40 Alexander Ankara
41 Alexander Gordion
42 Alexander Sardis
43 Alexander Miletus
44 Alexander Side
45 Alexander Tarsus
46 Alexander Ankara
47 Alexander Gordion
48 Alexander Sardis
49 Alexander Miletus
50 Alexander Side
51 Alexander Tarsus
52 Alexander Ankara
53 Alexander Gordion
54 Alexander Ankara
55 Alexander Gordion
56 Alexander Gordion
57 Alexander Gordion
58 Alexander Side
59 Alexander Side
60 Alexander Side
61 Alexander Gordion
62 Alexander Side
63 Alexander Side
64 Alexander Side
65 Alexander Side
66 Alexander Side
67 Alexander Gordion
68 Alexander Side
69 Alexander Side
70 Alexander Side
71 Alexander Side
score:0.35 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Sidon
15 Alexander Tyre
16 Alexander Memphis
17 Alexander Alexandria
18 Alexander Alexandria
19 Alexander Alexandria
20 Alexander Siwa
21 Alexander Siwa
22 Alexander Siwa
23 Alexander Memphis
24 Alexander Tyre
25 Alexander Tyre
26 Alexander Sidon
27 Alexander Sidon
28 Alexander Issus
29 Alexander Tarsus
30 Alexander Ankara
31 Alexander Gordion
32 Alexander Side
33 Alexander Miletus
34 Alexander Sardis
35 Alexander Gordion
36 Alexander Ankara
37 Alexander Ankara
38 Alexander Ankara
39 Alexander Ankara
40 Alexander Gordion
41 Alexander Side
42 Alexander Tarsus
43 Alexander Issus
44 Alexander Issus
45 Alexander Tarsus
46 Alexander Ankara
47 Alexander Gordion
48 Alexander Sardis
49 Alexander Gordion
50 Alexander Side
51 Alexander Miletus
52 Alexander Miletus
53 Alexander Miletus
54 Alexander Miletus
55 Alexander Miletus
56 Alexander Miletus
57 Alexander Miletus
58 Alexander Side
59 Alexander Side
60 Alexander Side
61 Alexander Gordion
62 Alexander Side
63 Alexander Side
64 Alexander Side
65 Alexander Side
66 Alexander Miletus
67 Alexander Side
68 Alexander Side
69 Alexander Side
70 Alexander Side
71 Alexander Side
score:0.35 maxDepth:-1
playoutEnd ----------------------------------------------
