newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Sidon
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Siwa
17 Alexander Alexandria
18 Alexander Siwa
19 Alexander Alexandria
20 Alexander Memphis
21 Alexander Tyre
22 Alexander Damascus
23 Alexander Gaugamela
24 Alexander Damascus
25 Alexander Tyre
26 Alexander Sidon
27 Alexander Issus
28 Alexander Tarsus
29 Alexander Tarsus
30 Alexander Issus
31 Alexander Tarsus
32 Alexander Issus
33 Alexander Tarsus
34 Alexander Ankara
35 Alexander Tarsus
36 Alexander Ankara
37 Alexander Gordion
38 Alexander Sardis
39 Alexander Sardis
40 Alexander Sardis
41 Alexander Miletus
42 Alexander Side
43 Alexander Tarsus
44 Alexander Side
45 Alexander Tarsus
46 Alexander Issus
47 Alexander Issus
48 Alexander Sidon
49 Alexander Tyre
50 Alexander Memphis
51 Alexander Siwa
52 Alexander Memphis
53 Alexander Memphis
54 Alexander Alexandria
55 Alexander Siwa
56 Alexander Memphis
57 Alexander Tyre
58 Alexander Sidon
59 Alexander Tyre
60 Alexander Sidon
61 Alexander Issus
62 Alexander Tarsus
63 Alexander Side
64 Alexander Miletus
65 Alexander Sardis
66 Alexander Gordion
67 Alexander Ankara
68 Alexander Tarsus
69 Alexander Issus
70 Alexander Tarsus
71 Alexander Side
score:0.516129 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Issus
10 Alexander Sidon
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Siwa
17 Alexander Alexandria
18 Alexander Siwa
19 Alexander Alexandria
20 Alexander Memphis
21 Alexander Tyre
22 Alexander Damascus
23 Alexander Gaugamela
24 Alexander Gaugamela
25 Alexander Gaugamela
26 Alexander Comana
27 Alexander Comana
28 Alexander Gaugamela
29 Alexander Damascus
30 Alexander Tyre
31 Alexander Sidon
32 Alexander Issus
33 Alexander Tarsus
34 Alexander Side
35 Alexander Tarsus
36 Alexander Ankara
37 Alexander Gordion
38 Alexander Sardis
39 Alexander Miletus
40 Alexander Side
41 Alexander Gordion
42 Alexander Gordion
43 Alexander Gordion
44 Alexander Ankara
45 Alexander Ankara
46 Alexander Ankara
47 Alexander Ankara
48 Alexander Ankara
49 Alexander Ankara
50 Alexander Tarsus
51 Alexander Tarsus
52 Alexander Issus
53 Alexander Sidon
54 Alexander Tyre
55 Alexander Memphis
56 Alexander Memphis
57 Alexander Alexandria
58 Alexander Siwa
59 Alexander Memphis
60 Alexander Tyre
61 Alexander Sidon
62 Alexander Issus
63 Alexander Tarsus
64 Alexander Side
65 Alexander Miletus
66 Alexander Sardis
67 Alexander Sardis
68 Alexander Sardis
69 Alexander Sardis
70 Alexander Sardis
71 Alexander Sardis
score:0.516129 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Issus
10 Alexander Sidon
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Siwa
17 Alexander Alexandria
18 Alexander Siwa
19 Alexander Alexandria
20 Alexander Memphis
21 Alexander Tyre
22 Alexander Damascus
23 Alexander Gaugamela
24 Alexander Gaugamela
25 Alexander Comana
26 Alexander Gaugamela
27 Alexander Damascus
28 Alexander Tyre
29 Alexander Sidon
30 Alexander Sidon
31 Alexander Issus
32 Alexander Tarsus
33 Alexander Issus
34 Alexander Tarsus
35 Alexander Side
36 Alexander Tarsus
37 Alexander Side
38 Alexander Gordion
39 Alexander Gordion
40 Alexander Gordion
41 Alexander Gordion
42 Alexander Sardis
43 Alexander Miletus
44 Alexander Side
45 Alexander Tarsus
46 Alexander Issus
47 Alexander Issus
48 Alexander Sidon
49 Alexander Tyre
50 Alexander Memphis
51 Alexander Alexandria
52 Alexander Siwa
53 Alexander Memphis
54 Alexander Tyre
55 Alexander Sidon
56 Alexander Issus
57 Alexander Tarsus
58 Alexander Ankara
59 Alexander Gordion
60 Alexander Sardis
61 Alexander Gordion
62 Alexander Sardis
63 Alexander Miletus
64 Alexander Sardis
65 Alexander Sardis
66 Alexander Sardis
67 Alexander Sardis
68 Alexander Sardis
69 Alexander Sardis
70 Alexander Sardis
71 Alexander Sardis
score:0.516129 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Issus
10 Alexander Sidon
11 Alexander Sidon
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Siwa
17 Alexander Alexandria
18 Alexander Siwa
19 Alexander Alexandria
20 Alexander Memphis
21 Alexander Tyre
22 Alexander Damascus
23 Alexander Gaugamela
24 Alexander Damascus
25 Alexander Tyre
26 Alexander Sidon
27 Alexander Issus
28 Alexander Tarsus
29 Alexander Tarsus
30 Alexander Ankara
31 Alexander Gordion
32 Alexander Sardis
33 Alexander Miletus
34 Alexander Side
35 Alexander Side
36 Alexander Gordion
37 Alexander Gordion
38 Alexander Gordion
39 Alexander Sardis
40 Alexander Sardis
41 Alexander Miletus
42 Alexander Side
43 Alexander Tarsus
44 Alexander Issus
45 Alexander Issus
46 Alexander Issus
47 Alexander Issus
48 Alexander Sidon
49 Alexander Sidon
50 Alexander Tyre
51 Alexander Tyre
52 Alexander Memphis
53 Alexander Alexandria
54 Alexander Memphis
55 Alexander Alexandria
56 Alexander Siwa
57 Alexander Memphis
58 Alexander Alexandria
59 Alexander Siwa
60 Alexander Memphis
61 Alexander Memphis
62 Alexander Tyre
63 Alexander Sidon
