newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Issus
12 Alexander Issus
13 Alexander Issus
14 Alexander Sidon
15 Alexander Tyre
16 Alexander Memphis
17 Alexander Alexandria
18 Alexander Alexandria
19 Alexander Alexandria
20 Alexander Siwa
21 Alexander Memphis
22 Alexander Alexandria
23 Alexander Siwa
24 Alexander Memphis
25 Alexander Siwa
26 Alexander Memphis
27 Alexander Tyre
28 Alexander Tyre
29 Alexander Tyre
30 Alexander Memphis
31 Alexander Memphis
32 Alexander Memphis
33 Alexander Alexandria
34 Alexander Siwa
35 Alexander Memphis
36 Alexander Tyre
37 Alexander Tyre
38 Alexander Tyre
39 Alexander Tyre
40 Alexander Tyre
41 Alexander Tyre
42 Alexander Memphis
43 Alexander Memphis
44 Alexander Alexandria
45 Alexander Siwa
46 Alexander Memphis
47 Alexander Tyre
48 Alexander Tyre
49 Alexander Tyre
50 Alexander Tyre
51 Alexander Tyre
52 Alexander Tyre
53 Alexander Tyre
54 Alexander Tyre
55 Alexander Tyre
56 Alexander Memphis
57 Alexander Alexandria
58 Alexander Siwa
59 Alexander Memphis
60 Alexander Memphis
61 Alexander Memphis
62 Alexander Memphis
63 Alexander Memphis
64 Alexander Memphis
65 Alexander Memphis
66 Alexander Memphis
67 Alexander Memphis
68 Alexander Memphis
69 Alexander Memphis
70 Alexander Memphis
71 Alexander Memphis
score:0.483871 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Tarsus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Alexandria
17 Alexander Alexandria
18 Alexander Siwa
19 Alexander Alexandria
20 Alexander Siwa
21 Alexander Memphis
22 Alexander Siwa
23 Alexander Alexandria
24 Alexander Memphis
25 Alexander Alexandria
26 Alexander Siwa
27 Alexander Memphis
28 Alexander Memphis
29 Alexander Siwa
30 Alexander Alexandria
31 Alexander Siwa
32 Alexander Memphis
33 Alexander Alexandria
34 Alexander Memphis
35 Alexander Tyre
36 Alexander Damascus
37 Alexander Tyre
38 Alexander Sidon
39 Alexander Issus
40 Alexander Sidon
41 Alexander Sidon
42 Alexander Tyre
43 Alexander Memphis
44 Alexander Alexandria
45 Alexander Siwa
46 Alexander Memphis
47 Alexander Tyre
48 Alexander Memphis
49 Alexander Siwa
50 Alexander Alexandria
51 Alexander Memphis
52 Alexander Alexandria
53 Alexander Siwa
54 Alexander Memphis
55 Alexander Memphis
56 Alexander Siwa
57 Alexander Memphis
58 Alexander Alexandria
59 Alexander Memphis
60 Alexander Memphis
61 Alexander Memphis
62 Alexander Memphis
63 Alexander Memphis
64 Alexander Memphis
65 Alexander Memphis
66 Alexander Memphis
67 Alexander Memphis
68 Alexander Memphis
69 Alexander Memphis
70 Alexander Memphis
71 Alexander Memphis
score:0.483871 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Granicus
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Gordion
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Siwa
17 Alexander Alexandria
18 Alexander Alexandria
19 Alexander Alexandria
20 Alexander Alexandria
21 Alexander Alexandria
22 Alexander Siwa
23 Alexander Memphis
24 Alexander Tyre
25 Alexander Tyre
26 Alexander Tyre
27 Alexander Tyre
28 Alexander Tyre
29 Alexander Memphis
30 Alexander Memphis
31 Alexander Siwa
32 Alexander Alexandria
33 Alexander Memphis
34 Alexander Memphis
35 Alexander Tyre
36 Alexander Tyre
37 Alexander Tyre
38 Alexander Damascus
39 Alexander Tyre
40 Alexander Tyre
41 Alexander Tyre
42 Alexander Tyre
43 Alexander Tyre
44 Alexander Tyre
45 Alexander Tyre
46 Alexander Memphis
47 Alexander Alexandria
48 Alexander Alexandria
49 Alexander Siwa
50 Alexander Memphis
51 Alexander Memphis
52 Alexander Memphis
53 Alexander Memphis
54 Alexander Memphis
55 Alexander Memphis
56 Alexander Memphis
57 Alexander Memphis
58 Alexander Memphis
59 Alexander Memphis
60 Alexander Memphis
61 Alexander Memphis
62 Alexander Memphis
63 Alexander Memphis
64 Alexander Memphis
65 Alexander Memphis
66 Alexander Memphis
67 Alexander Memphis
68 Alexander Memphis
69 Alexander Memphis
70 Alexander Memphis
71 Alexander Memphis
score:0.483871 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Granicus
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Sardis
5 Alexander Miletus
6 Alexander Side
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Alexandria
17 Alexander Alexandria
18 Alexander Memphis
19 Alexander Alexandria
20 Alexander Alexandria
21 Alexander Alexandria
22 Alexander Siwa
23 Alexander Memphis
24 Alexander Memphis
25 Alexander Memphis
26 Alexander Tyre
27 Alexander Sidon
28 Alexander Sidon
29 Alexander Sidon
