newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Issus
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Siwa
17 Alexander Alexandria
18 Alexander Alexandria
19 Alexander Memphis
20 Alexander Tyre
21 Alexander Damascus
22 Alexander Gaugamela
23 Alexander Arbela
24 Alexander Gaugamela
25 Alexander Damascus
26 Alexander Damascus
27 Alexander Damascus
28 Alexander Tyre
29 Alexander Sidon
30 Alexander Sidon
31 Alexander Issus
32 Alexander Tarsus
33 Alexander Side
34 Alexander Gordion
35 Alexander Gordion
36 Alexander Sardis
37 Alexander Granicus
38 Alexander Granicus
39 Alexander Granicus
40 Alexander Granicus
41 Alexander Pella
42 Alexander Granicus
43 Alexander Sardis
44 Alexander Sardis
45 Alexander Gordion
46 Alexander Gordion
47 Alexander Ankara
48 Alexander Tarsus
49 Alexander Tarsus
50 Alexander Tarsus
51 Alexander Tarsus
52 Alexander Side
53 Alexander Gordion
54 Alexander Ankara
55 Alexander Tarsus
56 Alexander Side
57 Alexander Side
58 Alexander Gordion
59 Alexander Gordion
60 Alexander Sardis
61 Alexander Gordion
62 Alexander Gordion
63 Alexander Gordion
64 Alexander Gordion
65 Alexander Gordion
66 Alexander Gordion
67 Alexander Gordion
68 Alexander Gordion
69 Alexander Gordion
70 Alexander Gordion
71 Alexander Gordion
score:0.516129 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Sardis
8 Alexander Gordion
9 Alexander Ankara
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Siwa
17 Alexander Alexandria
18 Alexander Alexandria
19 Alexander Memphis
20 Alexander Tyre
21 Alexander Damascus
22 Alexander Gaugamela
23 Alexander Arbela
24 Alexander Gaugamela
25 Alexander Damascus
26 Alexander Damascus
27 Alexander Tyre
28 Alexander Sidon
29 Alexander Sidon
30 Alexander Issus
31 Alexander Tarsus
32 Alexander Side
33 Alexander Gordion
34 Alexander Gordion
35 Alexander Sardis
36 Alexander Granicus
37 Alexander Granicus
38 Alexander Granicus
39 Alexander Granicus
40 Alexander Pella
41 Alexander Granicus
42 Alexander Sardis
43 Alexander Sardis
44 Alexander Gordion
45 Alexander Side
46 Alexander Tarsus
47 Alexander Tarsus
48 Alexander Tarsus
49 Alexander Tarsus
50 Alexander Tarsus
51 Alexander Tarsus
52 Alexander Tarsus
53 Alexander Tarsus
54 Alexander Tarsus
55 Alexander Tarsus
56 Alexander Ankara
57 Alexander Gordion
58 Alexander Sardis
59 Alexander Granicus
60 Alexander Sardis
61 Alexander Gordion
62 Alexander Gordion
63 Alexander Gordion
64 Alexander Gordion
65 Alexander Gordion
66 Alexander Gordion
67 Alexander Gordion
68 Alexander Gordion
69 Alexander Gordion
70 Alexander Gordion
71 Alexander Gordion
score:0.516129 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Issus
10 Alexander Issus
11 Alexander Sidon
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Siwa
17 Alexander Alexandria
18 Alexander Alexandria
19 Alexander Memphis
20 Alexander Tyre
21 Alexander Damascus
22 Alexander Gaugamela
23 Alexander Arbela
24 Alexander Gaugamela
25 Alexander Damascus
26 Alexander Damascus
27 Alexander Damascus
28 Alexander Tyre
29 Alexander Sidon
30 Alexander Sidon
31 Alexander Issus
32 Alexander Tarsus
33 Alexander Side
34 Alexander Gordion
35 Alexander Gordion
36 Alexander Sardis
37 Alexander Granicus
38 Alexander Granicus
39 Alexander Granicus
40 Alexander Granicus
41 Alexander Pella
42 Alexander Granicus
43 Alexander Sardis
44 Alexander Sardis
45 Alexander Gordion
46 Alexander Gordion
47 Alexander Ankara
48 Alexander Tarsus
49 Alexander Tarsus
50 Alexander Tarsus
51 Alexander Tarsus
52 Alexander Tarsus
53 Alexander Side
54 Alexander Gordion
55 Alexander Ankara
56 Alexander Tarsus
57 Alexander Side
58 Alexander Gordion
59 Alexander Gordion
60 Alexander Sardis
61 Alexander Gordion
62 Alexander Gordion
63 Alexander Gordion
64 Alexander Gordion
65 Alexander Gordion
66 Alexander Gordion
67 Alexander Gordion
68 Alexander Gordion
69 Alexander Gordion
70 Alexander Gordion
71 Alexander Gordion
score:0.516129 maxDepth:-1
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Issus
10 Alexander Sidon
11 Alexander Sidon
12 Alexander Issus
13 Alexander Sidon
14 Alexander Tyre
15 Alexander Memphis
16 Alexander Alexandria
17 Alexander Alexandria
18 Alexander Memphis
19 Alexander Alexandria
20 Alexander Memphis
21 Alexander Tyre
22 Alexander Damascus
23 Alexander Gaugamela
24 Alexander Arbela
25 Alexander Gaugamela
26 Alexander Damascus
27 Alexander Damascus
28 Alexander Damascus
29 Alexander Gaugamela
30 Alexander Arbela
31 Alexander Gaugamela
32 Alexander Damascus
33 Alexander Tyre
34 Alexander Sidon
35 Alexander Sidon
36 Alexander Issus
37 Alexander Tarsus
38 Alexander Issus
39 Alexander Tarsus
40 Alexander Side
41 Alexander Side
42 Alexander Miletus
43 Alexander Sardis
44 Alexander Granicus
45 Alexander Pella
46 Alexander Granicus
47 Alexander Pella
48 Alexander Granicus
49 Alexander Sardis
50 Alexander Sardis
51 Alexander Gordion
52 Alexander Ankara
53 Alexander Tarsus
54 Alexander Tarsus
55 Alexander Tarsus
56 Alexander Tarsus
57 Alexander Tarsus
58 Alexander Tarsus
59 Alexander Tarsus
60 Alexander Tarsus
