newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Granicus
4 Alexander Sardis
5 Alexander Sardis
6 Alexander Sardis
7 Alexander Granicus
8 Alexander Granicus
9 Alexander Granicus
10 Alexander Granicus
11 Alexander Granicus
12 Alexander Granicus
13 Alexander Granicus
14 Alexander Pella
15 Alexander Pella
16 Alexander Granicus
17 Alexander Sardis
18 Alexander Gordion
19 Alexander Ankara
20 Alexander Comana
21 Alexander Comana
22 Alexander Comana
23 Alexander Comana
24 Alexander Gaugamela
25 Alexander Gaugamela
26 Alexander Arbela
27 Alexander Babylon
28 Alexander Arbela
29 Alexander Susa
30 Alexander Susa
31 Alexander Susa
32 Alexander Arbela
33 Alexander Gaugamela
34 Alexander Gaugamela
35 Alexander Gaugamela
36 Alexander Comana
37 Alexander Gaugamela
38 Alexander Damascus
39 Alexander Damascus
40 Alexander Tyre
41 Alexander Tyre
42 Alexander Memphis
43 Alexander Memphis
44 Alexander Memphis
45 Alexander Memphis
46 Alexander Siwa
47 Alexander Siwa
48 Alexander Alexandria
49 Alexander Alexandria
50 Alexander Siwa
51 Alexander Siwa
52 Alexander Memphis
53 Alexander Alexandria
54 Alexander Alexandria
55 Alexander Alexandria
56 Alexander Siwa
57 Alexander Memphis
58 Alexander Memphis
59 Alexander Tyre
60 Alexander Damascus
61 Alexander Gaugamela
62 Alexander Gaugamela
63 Alexander Damascus
64 Alexander Damascus
65 Alexander Tyre
66 Alexander Memphis
67 Alexander Tyre
68 Alexander Memphis
69 Alexander Tyre
70 Alexander Tyre
71 Alexander Sidon
score:0 maxDepth:0
nowplayout:0
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Side
8 Alexander Gordion
9 Alexander Sardis
10 Alexander Miletus
11 Alexander Sardis
12 Alexander Gordion
13 Alexander Ankara
14 Alexander Gordion
15 Alexander Side
16 Alexander Side
17 Alexander Tarsus
18 Alexander Side
19 Alexander Side
20 Alexander Tarsus
21 Alexander Issus
22 Alexander Sidon
23 Alexander Issus
24 Alexander Tarsus
25 Alexander Side
26 Alexander Miletus
27 Alexander Sardis
28 Alexander Gordion
29 Alexander Sardis
30 Alexander Miletus
31 Alexander Side
32 Alexander Tarsus
33 Alexander Issus
34 Alexander Issus
35 Alexander Tarsus
36 Alexander Tarsus
37 Alexander Side
38 Alexander Miletus
39 Alexander Sardis
40 Alexander Gordion
41 Alexander Sardis
42 Alexander Granicus
43 Alexander Pella
44 Alexander Pella
45 Alexander Pella
46 Alexander Pella
47 Alexander Pella
48 Alexander Pella
49 Alexander Granicus
50 Alexander Sardis
51 Alexander Miletus
52 Alexander Side
53 Alexander Side
54 Alexander Gordion
55 Alexander Ankara
56 Alexander Ankara
57 Alexander Tarsus
58 Alexander Side
59 Alexander Side
60 Alexander Side
61 Alexander Miletus
62 Alexander Miletus
63 Alexander Sardis
64 Alexander Sardis
65 Alexander Granicus
66 Alexander Granicus
67 Alexander Sardis
68 Alexander Gordion
69 Alexander Side
70 Alexander Tarsus
71 Alexander Tarsus
score:0.125 maxDepth:11
nowplayout:10000
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Comana
10 Alexander Ankara
11 Alexander Gordion
12 Alexander Ankara
13 Alexander Comana
14 Alexander Gaugamela
15 Alexander Damascus
16 Alexander Gaugamela
17 Alexander Comana
18 Alexander Ankara
19 Alexander Tarsus
20 Alexander Side
21 Alexander Side
22 Alexander Gordion
23 Alexander Gordion
24 Alexander Ankara
25 Alexander Gordion
26 Alexander Side
27 Alexander Tarsus
28 Alexander Side
29 Alexander Gordion
30 Alexander Gordion
31 Alexander Ankara
32 Alexander Gordion
33 Alexander Side
34 Alexander Miletus
35 Alexander Sardis
36 Alexander Sardis
37 Alexander Sardis
38 Alexander Miletus
39 Alexander Sardis
40 Alexander Miletus
41 Alexander Miletus
42 Alexander Miletus
43 Alexander Side
44 Alexander Miletus
45 Alexander Miletus
46 Alexander Sardis
47 Alexander Gordion
48 Alexander Side
49 Alexander Gordion
50 Alexander Gordion
51 Alexander Ankara
52 Alexander Gordion
53 Alexander Gordion
54 Alexander Sardis
55 Alexander Gordion
56 Alexander Ankara
57 Alexander Gordion
58 Alexander Gordion
59 Alexander Ankara
60 Alexander Ankara
61 Alexander Tarsus
62 Alexander Side
63 Alexander Miletus
64 Alexander Sardis
65 Alexander Sardis
66 Alexander Sardis
67 Alexander Granicus
68 Alexander Pella
69 Alexander Granicus
70 Alexander Granicus
71 Alexander Sardis
score:0.15 maxDepth:13
nowplayout:20000
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Granicus
3 Alexander Sardis
4 Alexander Miletus
5 Alexander Side
6 Alexander Gordion
7 Alexander Ankara
8 Alexander Tarsus
9 Alexander Issus
10 Alexander Issus
11 Alexander Tarsus
12 Alexander Side
13 Alexander Side
14 Alexander Gordion
15 Alexander Sardis
16 Alexander Sardis
17 Alexander Miletus
18 Alexander Sardis
19 Alexander Granicus
20 Alexander Pella
21 Alexander Pella
22 Alexander Pella
23 Alexander Pella
24 Alexander Granicus
25 Alexander Sardis
26 Alexander Miletus
27 Alexander Miletus
28 Alexander Sardis
29 Alexander Gordion
30 Alexander Sardis
31 Alexander Granicus
32 Alexander Pella
33 Alexander Pella
34 Alexander Pella
35 Alexander Granicus
36 Alexander Granicus
37 Alexander Sardis
38 Alexander Gordion
39 Alexander Gordion
40 Alexander Side
41 Alexander Tarsus
42 Alexander Issus
43 Alexander Issus
44 Alexander Tarsus
45 Alexander Tarsus
46 Alexander Tarsus
47 Alexander Side
48 Alexander Tarsus
49 Alexander Tarsus
50 Alexander Tarsus
51 Alexander Issus
52 Alexander Tarsus
53 Alexander Issus
54 Alexander Sidon
55 Alexander Sidon
56 Alexander Issus
57 Alexander Tarsus
58 Alexander Side
59 Alexander Gordion
60 Alexander Sardis
61 Alexander Miletus
62 Alexander Side
63 Alexander Tarsus
64 Alexander Issus
65 Alexander Issus
