newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Sardis
6 Alexander Ephesus
7 Alexander Miletus
8 Alexander Halicarnassus
9 Alexander Side
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Tarsus
14 Alexander Ankara
15 Alexander Tarsus
16 Alexander Issus
17 Alexander Byblos
18 Alexander Byblos
19 Alexander Byblos
20 Alexander Sidon
21 Alexander Sidon
22 Alexander Sidon
23 Alexander Byblos
24 Alexander Issus
25 Alexander Byblos
26 Alexander Sidon
27 Alexander Tyre
28 Alexander Gaza
29 Alexander Memphis
30 Alexander Alexandria
31 Alexander Alexandria
32 Alexander Siwa
33 Alexander Alexandria
34 Alexander Alexandria
35 Alexander Alexandria
36 Alexander Alexandria
37 Alexander Siwa
38 Alexander Alexandria
39 Alexander Alexandria
40 Alexander Memphis
41 Alexander Gaza
42 Alexander Gaza
43 Alexander Gaza
44 Alexander Memphis
45 Alexander Thebes
46 Alexander Memphis
47 Alexander Memphis
48 Alexander Memphis
49 Alexander Alexandria
50 Alexander Memphis
51 Alexander Memphis
52 Alexander Memphis
53 Alexander Memphis
54 Alexander Thebes
55 Alexander Thebes
56 Alexander Thebes
57 Alexander Memphis
58 Alexander Gaza
59 Alexander Gaza
60 Alexander Tyre
61 Alexander Damascus
62 Alexander Damascus
63 Alexander Nisibis
64 Alexander Gaugamela
65 Alexander Gaugamela
66 Alexander Comana
67 Alexander Comana
68 Alexander Comana
69 Alexander Ankara
70 Alexander Ankara
71 Alexander Ankara
72 Alexander Tarsus
73 Alexander Ankara
74 Alexander Tarsus
75 Alexander Issus
76 Alexander Issus
77 Alexander Byblos
78 Alexander Sidon
79 Alexander Tyre
80 Alexander Damascus
81 Alexander Nisibis
82 Alexander Nisibis
83 Alexander Damascus
84 Alexander Damascus
85 Alexander Damascus
86 Alexander Damascus
87 Alexander Damascus
88 Alexander Nisibis
89 Alexander Nisibis
90 Alexander Gaugamela
91 Alexander Comana
92 Alexander Comana
93 Alexander Comana
94 Alexander Comana
95 Alexander Comana
96 Alexander Ankara
97 Alexander Ankara
98 Alexander Tarsus
99 Alexander Tarsus
100 Alexander Issus
101 Alexander Issus
102 Alexander Issus
103 Alexander Issus
104 Alexander Issus
105 Alexander Issus
106 Alexander Issus
107 Alexander Tarsus
108 Alexander Ankara
109 Alexander Ankara
110 Alexander Comana
111 Alexander Ankara
112 Alexander Comana
113 Alexander Gaugamela
114 Alexander Comana
115 Alexander Comana
116 Alexander Comana
117 Alexander Comana
118 Alexander Ankara
119 Alexander Gordion
120 Alexander Gordion
121 Alexander Gordion
122 Alexander Gordion
123 Alexander Gordion
124 Alexander Sardis
125 Alexander Sardis
126 Alexander Ephesus
127 Alexander Miletus
128 Alexander Halicarnassus
129 Alexander Side
130 Alexander Side
131 Alexander Tarsus
132 Alexander Tarsus
133 Alexander Tarsus
134 Alexander Tarsus
135 Alexander Tarsus
136 Alexander Tarsus
137 Alexander Tarsus
138 Alexander Tarsus
139 Alexander Tarsus
140 Alexander Tarsus
score:0.40625 maxDepth:53
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Sardis
6 Alexander Ephesus
7 Alexander Miletus
8 Alexander Halicarnassus
9 Alexander Side
10 Alexander Tarsus
11 Alexander Issus
12 Alexander Issus
13 Alexander Tarsus
14 Alexander Ankara
15 Alexander Tarsus
16 Alexander Issus
17 Alexander Byblos
18 Alexander Byblos
19 Alexander Byblos
20 Alexander Sidon
21 Alexander Sidon
22 Alexander Sidon
23 Alexander Byblos
24 Alexander Issus
25 Alexander Byblos
26 Alexander Sidon
27 Alexander Tyre
28 Alexander Gaza
29 Alexander Memphis
30 Alexander Alexandria
31 Alexander Alexandria
32 Alexander Siwa
33 Alexander Siwa
34 Alexander Siwa
35 Alexander Siwa
36 Alexander Alexandria
37 Alexander Siwa
38 Alexander Siwa
39 Alexander Alexandria
40 Alexander Memphis
41 Alexander Gaza
42 Alexander Tyre
43 Alexander Damascus
44 Alexander Nisibis
45 Alexander Gaugamela
46 Alexander Comana
47 Alexander Gaugamela
48 Alexander Nisibis
49 Alexander Damascus
50 Alexander Tyre
51 Alexander Gaza
52 Alexander Gaza
53 Alexander Gaza
54 Alexander Gaza
55 Alexander Memphis
56 Alexander Siwa
57 Alexander Siwa
58 Alexander Siwa
59 Alexander Siwa
60 Alexander Memphis
61 Alexander Gaza
62 Alexander Gaza
63 Alexander Gaza
64 Alexander Tyre
65 Alexander Tyre
66 Alexander Damascus
67 Alexander Nisibis
68 Alexander Nisibis
69 Alexander Nisibis
70 Alexander Damascus
71 Alexander Damascus
72 Alexander Damascus
73 Alexander Nisibis
74 Alexander Gaugamela
75 Alexander Nisibis
76 Alexander Damascus
77 Alexander Tyre
78 Alexander Gaza
79 Alexander Memphis
80 Alexander Memphis
81 Alexander Memphis
82 Alexander Memphis
83 Alexander Thebes
84 Alexander Thebes
85 Alexander Thebes
86 Alexander Thebes
87 Alexander Thebes
88 Alexander Thebes
89 Alexander Thebes
90 Alexander Thebes
91 Alexander Thebes
92 Alexander Thebes
93 Alexander Thebes
94 Alexander Thebes
95 Alexander Memphis
96 Alexander Thebes
97 Alexander Thebes
98 Alexander Thebes
99 Alexander Memphis
100 Alexander Memphis
101 Alexander Memphis
102 Alexander Memphis
103 Alexander Alexandria
104 Alexander Alexandria
105 Alexander Memphis
106 Alexander Thebes
107 Alexander Thebes
108 Alexander Thebes
109 Alexander Thebes
110 Alexander Memphis
111 Alexander Gaza
112 Alexander Tyre
113 Alexander Damascus
114 Alexander Damascus
115 Alexander Tyre
116 Alexander Damascus
117 Alexander Damascus
118 Alexander Nisibis
119 Alexander Nisibis
120 Alexander Nisibis
121 Alexander Nisibis
122 Alexander Gaugamela
123 Alexander Nisibis
124 Alexander Nisibis
125 Alexander Damascus
126 Alexander Damascus
127 Alexander Damascus
128 Alexander Damascus
129 Alexander Nisibis
130 Alexander Nisibis
131 Alexander Nisibis
132 Alexander Damascus
133 Alexander Damascus
134 Alexander Tyre
135 Alexander Damascus
136 Alexander Nisibis
137 Alexander Gaugamela
138 Alexander Gaugamela
139 Alexander Comana
140 Alexander Comana
score:0.4375 maxDepth:52
