newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Granicus
6 Alexander Sardes
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Byblos
12 Alexander Byblos
13 Alexander Byblos
14 Alexander Issus
15 Alexander Byblos
16 Alexander Issus
17 Alexander Issus
18 Alexander Byblos
19 Alexander Sidon
20 Alexander Byblos
21 Alexander Byblos
22 Alexander Sidon
23 Alexander Byblos
24 Alexander Sidon
25 Alexander Tyre
26 Alexander Damaskos
27 Alexander Nikephorion
28 Alexander Nikephorion
29 Alexander Nisibis
30 Alexander Nikephorion
31 Alexander Nikephorion
32 Alexander Damaskos
33 Alexander Nikephorion
34 Alexander Nikephorion
35 Alexander Nikephorion
36 Alexander Damaskos
37 Alexander Damaskos
38 Alexander Damaskos
39 Alexander Damaskos
40 Alexander Tyre
41 Alexander Sidon
42 Alexander Byblos
43 Alexander Byblos
44 Alexander Sidon
45 Alexander Sidon
46 Alexander Tyre
47 Alexander Tyre
48 Alexander Sidon
49 Alexander Sidon
50 Alexander Byblos
51 Alexander Byblos
52 Alexander Byblos
53 Alexander Sidon
54 Alexander Tyre
55 Alexander Tyre
56 Alexander Sidon
57 Alexander Byblos
58 Alexander Sidon
59 Alexander Tyre
60 Alexander Tyre
61 Alexander Damaskos
62 Alexander Damaskos
63 Alexander Nikephorion
64 Alexander Nikephorion
65 Alexander Nisibis
66 Alexander Nisibis
67 Alexander Nikephorion
68 Alexander Nikephorion
69 Alexander Nikephorion
70 Alexander Nisibis
71 Alexander Gaugamela
72 Alexander Gaugamela
73 Alexander Nisibis
74 Alexander Nikephorion
75 Alexander Damaskos
76 Alexander Damaskos
77 Alexander Tyre
78 Alexander Gaza
79 Alexander Gaza
80 Alexander Memphis
81 Alexander Gaza
82 Alexander Tyre
83 Alexander Damaskos
84 Alexander Nikephorion
85 Alexander Nisibis
86 Alexander Nisibis
87 Alexander Nikephorion
88 Alexander Damaskos
89 Alexander Tyre
90 Alexander Tyre
91 Alexander Gaza
92 Alexander Gaza
93 Alexander Gaza
94 Alexander Gaza
95 Alexander Tyre
96 Alexander Sidon
97 Alexander Byblos
98 Alexander Issus
99 Alexander Byblos
100 Alexander Byblos
101 Alexander Issus
102 Alexander Tarsus
103 Alexander Side
104 Alexander Halikarnassos
105 Alexander Side
106 Alexander Gordion
107 Alexander Ankara
108 Alexander Comana
109 Alexander Comana
110 Alexander Amida
111 Alexander Amida
112 Alexander Comana
113 Alexander Amida
114 Alexander Gaugamela
115 Alexander Gaugamela
116 Alexander Nisibis
117 Alexander Nikephorion
118 Alexander Nikephorion
119 Alexander Damaskos
120 Alexander Tyre
121 Alexander Sidon
122 Alexander Tyre
123 Alexander Gaza
124 Alexander Tyre
125 Alexander Sidon
126 Alexander Byblos
127 Alexander Sidon
128 Alexander Byblos
129 Alexander Issus
130 Alexander Issus
131 Alexander Tarsus
132 Alexander Tarsus
133 Alexander Issus
134 Alexander Byblos
135 Alexander Sidon
136 Alexander Tyre
137 Alexander Gaza
138 Alexander Memphis
139 Alexander Gaza
140 Alexander Tyre
score:0.220779 maxDepth:28
playoutEnd ----------------------------------------------
newPlayout ----------------------------------------------
0 Alexander Pella
1 Alexander Pella
2 Alexander Pella
3 Alexander Pella
4 Alexander Granicus
5 Alexander Granicus
6 Alexander Sardes
7 Alexander Gordion
8 Alexander Ankara
9 Alexander Tarsus
10 Alexander Issus
11 Alexander Byblos
12 Alexander Byblos
13 Alexander Byblos
14 Alexander Byblos
15 Alexander Issus
16 Alexander Issus
17 Alexander Issus
18 Alexander Tarsus
19 Alexander Side
20 Alexander Halikarnassos
21 Alexander Halikarnassos
22 Alexander Side
23 Alexander Side
24 Alexander Side
25 Alexander Tarsus
26 Alexander Ankara
27 Alexander Comana
28 Alexander Comana
29 Alexander Comana
30 Alexander Amida
31 Alexander Gaugamela
32 Alexander Amida
33 Alexander Gaugamela
34 Alexander Nisibis
35 Alexander Nisibis
36 Alexander Nisibis
37 Alexander Nikephorion
38 Alexander Nisibis
39 Alexander Gaugamela
40 Alexander Nisibis
41 Alexander Nikephorion
42 Alexander Damaskos
43 Alexander Tyre
44 Alexander Gaza
45 Alexander Memphis
46 Alexander Memphis
47 Alexander Gaza
48 Alexander Memphis
49 Alexander Amonin
50 Alexander Amonin
51 Alexander Memphis
52 Alexander Amonin
53 Alexander Amonin
54 Alexander Memphis
55 Alexander Thebes
56 Alexander Memphis
57 Alexander Memphis
58 Alexander Thebes
59 Alexander Thebes
60 Alexander Memphis
61 Alexander Thebes
62 Alexander Thebes
63 Alexander Syene
64 Alexander Thebes
65 Alexander Thebes
66 Alexander Memphis
67 Alexander Amonin
68 Alexander Amonin
69 Alexander Memphis
70 Alexander Thebes
71 Alexander Thebes
72 Alexander Memphis
73 Alexander Gaza
74 Alexander Memphis
75 Alexander Memphis
76 Alexander Thebes
77 Alexander Thebes
78 Alexander Thebes
79 Alexander Memphis
80 Alexander Alexandria
81 Alexander Paraetonion
82 Alexander Alexandria
83 Alexander Paraetonion
84 Alexander Paraetonion
85 Alexander Paraetonion
86 Alexander Alexandria
87 Alexander Memphis
88 Alexander Memphis
89 Alexander Gaza
90 Alexander Petra
91 Alexander Gaza
92 Alexander Tyre
93 Alexander Sidon
94 Alexander Byblos
95 Alexander Issus
96 Alexander Issus
97 Alexander Issus
98 Alexander Byblos
99 Alexander Sidon
100 Alexander Sidon
101 Alexander Sidon
102 Alexander Byblos
103 Alexander Byblos
104 Alexander Sidon
105 Alexander Sidon
106 Alexander Byblos
107 Alexander Sidon
108 Alexander Sidon
109 Alexander Sidon
110 Alexander Byblos
111 Alexander Issus
112 Alexander Tarsus
113 Alexander Issus
114 Alexander Issus
115 Alexander Issus
116 Alexander Issus
117 Alexander Tarsus
118 Alexander Tarsus
119 Alexander Ankara
120 Alexander Tarsus
121 Alexander Issus
122 Alexander Issus
123 Alexander Byblos
124 Alexander Byblos
125 Alexander Issus
126 Alexander Issus
127 Alexander Issus
128 Alexander Tarsus
129 Alexander Ankara
130 Alexander Comana
131 Alexander Comana
132 Alexander Comana
133 Alexander Ankara
134 Alexander Tarsus
135 Alexander Issus
136 Alexander Tarsus
137 Alexander Ankara
138 Alexander Tarsus
139 Alexander Ankara
140 Alexander Comana
